tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
head,FBgn0043783,-1.6928315575175823,7.600410360621259,-22.287996081318425,4.15131619379571e-99,2.8071200102446587e-95,215.10762730683044,-1,CG32444
head,FBgn0032945,-2.4075525568139904,5.745522511586786,-21.20952240346833,9.422315094276346e-91,3.1856847333748324e-87,195.69991223765405,-1,CG8665
head,FBgn0024289,-1.7420276755903412,5.843685032735896,-20.330136613355545,3.872177030368047e-84,8.727887026449578e-81,180.63413719540696,-1,Sodh-1
head,FBgn0013272,1.1100859035634434,6.33542691776869,19.98294427205643,1.404671231858371e-81,2.374596717456576e-78,174.94541343297223,1,Gp150
head,FBgn0043578,-2.343608733261968,7.412562280370611,-19.67423238174908,2.5019125207542702e-79,3.383586493068075e-76,169.81930379891296,-1,PGRP-SB1
head,FBgn0010408,-0.7194341438845537,9.716432584291988,-18.441889118839427,1.3742102162241247e-70,1.5487349136845885e-67,149.85667404703355,-1,RpS9
head,FBgn0262742,0.5050164900041612,9.255414720198084,18.098569694212703,3.1685060858261996e-68,3.060776878908109e-65,144.44797395021396,1,NA
head,FBgn0261931,1.242785238891424,5.5252666230279655,17.605045708649225,6.926025550441248e-65,5.854223096510465e-62,136.73003940223902,1,Hecw
head,FBgn0052017,1.0133866669905691,4.87108687691778,17.37780923074139,2.265738904085806e-63,1.7023251632698024e-60,133.0985230048588,1,CG32017
head,FBgn0266347,-0.6431529926664465,7.710455635773553,-17.285072108602815,9.314681353398112e-63,6.298587531167804e-60,131.9380452216694,-1,nAChRalpha4
head,FBgn0000406,-0.930518523177561,8.520560656319464,-17.143078830918792,8.02517123208293e-62,4.933291624667707e-59,129.79626747613324,-1,Cyt-b5-r
head,FBgn0028399,1.0693757324737394,4.701342824374129,17.085256585970793,1.921584771796089e-61,1.082813018907096e-58,128.63289235658638,1,Serinc
head,FBgn0020372,0.830443683935342,5.8096334728978825,17.013881522748772,5.6287899303900524e-61,2.9278367314844258e-58,127.8130901649801,1,TM4SF
head,FBgn0032076,-1.346291704864936,5.367297819519868,-16.90984090657395,2.680050072094426e-60,1.2944641848216077e-57,126.16768112971826,-1,Argl
head,FBgn0004240,-3.6333069330666943,4.907604215845847,-16.645253855468308,1.372334895618875e-58,6.186485709449889e-56,122.15012361741782,-1,DptA
head,FBgn0036262,-0.7412515668960609,8.116699988602537,-15.797581628549073,2.9763426045649916e-53,1.2578767932542796e-50,110.2005877346588,-1,CG6910
head,FBgn0010388,-2.8726540613481024,5.782369589956891,-15.727577840643548,8.028976764902767e-53,3.0162189380151397e-50,109.16480832106065,-1,Dro
head,FBgn0020385,-0.9403615941387953,6.212394652297775,-15.691178069922994,1.3432644828712706e-52,4.780607596408175e-50,108.70779358342755,-1,pug
head,FBgn0083124,1.552853927726214,2.7562056168893956,15.74887633895372,5.938750698721449e-53,2.362225424985555e-50,108.4640710529173,1,Uhg4
head,FBgn0034140,-0.9609141143251758,7.0415920053316485,-15.580107497972463,6.4215290715991015e-52,2.1711189791076565e-49,107.16463588368227,-1,Lst
head,FBgn0000108,0.4518035049310747,9.184810451026054,15.453262593891376,3.792799970877505e-51,1.2212815906225565e-48,105.3700155230473,1,Appl
head,FBgn0033246,-0.5820613051977421,7.579113040968831,-15.3615351540312,1.3602891717522898e-50,4.181034263358629e-48,104.12513065467806,-1,ACC
head,FBgn0039678,-1.4970906780969013,8.77009734685176,-15.219942636560551,9.653587415641876e-50,2.8381547001987114e-47,102.1641237707442,-1,Obp99a
head,FBgn0029990,-0.8832535216950479,11.026321339106827,-15.133234891514611,3.1824267028551985e-49,8.96648723529452e-47,100.95133117133538,-1,CG2233
head,FBgn0030968,-0.9837929814895485,5.867137969009546,-15.03182423899085,1.2754940456570344e-48,3.449956294693147e-46,99.61815954357542,-1,CG7322
head,FBgn0053113,0.4686892801485456,8.778714208650927,14.88874227623085,8.92947529441647e-48,2.3223504592632377e-45,97.66663114965917,1,Rtnl1
head,FBgn0052264,0.4380412295549778,8.433731798955192,14.725101251053575,8.117893447729581e-47,2.0330813145758307e-44,95.47723747817487,1,CG32264
head,FBgn0001125,-0.6368727083055461,7.445940322936105,-14.671381605437062,1.6682970180004256e-46,4.0289372984710276e-44,94.78773952665196,-1,Got2
head,FBgn0003941,-0.38714802213349664,11.139082705274516,-14.618820014542672,3.3687238070200267e-46,7.854934614851524e-44,94.03208055857786,-1,RpL40
head,FBgn0086359,0.7965053893281882,5.953124224046684,14.522580810799623,1.2132977726820673e-45,2.73477317962538e-43,92.83932047960536,1,Invadolysin
head,FBgn0031692,0.8874247700182636,5.785359177178828,14.336216943350234,1.422734822091379e-44,3.00721856313383e-42,90.3977943002772,1,TpnC25D
head,FBgn0085256,-1.5703969992565217,5.608997361646127,-14.33619664392193,1.4231143747453793e-44,3.00721856313383e-42,90.37938806820425,-1,CG34227
head,FBgn0002579,-0.3652883672514662,11.268533689863379,-14.17634661449243,1.1516337596090193e-43,2.3598022674170266e-41,88.2369247739382,-1,RpL36
head,FBgn0267001,0.5059725776664115,8.714656228439058,14.169389354971976,1.2608055321059524e-43,2.5075197082648383e-41,88.17958131252149,1,Ten-a
head,FBgn0261599,-0.3980683978152033,11.398858258325927,-14.15193524521918,1.5821858305833206e-43,3.056783024686975e-41,87.92002432513135,-1,RpS29
head,FBgn0004045,-0.8074065788709035,14.697167845236669,-14.077154200009534,4.174608671099182e-43,7.841306620547964e-41,86.91998808654664,-1,Yp1
head,FBgn0023507,-0.6709824029878231,6.542631780692409,-13.933407069907854,2.6632830950225843e-42,4.867329807714247e-40,85.2142515524359,-1,D2hgdh
head,FBgn0250788,0.6410761701897538,5.582504112223067,13.923708974542093,3.0162662505561357e-42,5.367366417436997e-40,85.09659329785238,1,beta-Spec
head,FBgn0013949,-0.8483099861943941,6.002260923343671,-13.854136943530973,7.350554328757356e-42,1.2426112092764311e-39,84.21629537259614,-1,Elal
head,FBgn0037713,-1.2449790407239947,3.829027201192479,-13.854249172195289,7.340021615119778e-42,1.2426112092764311e-39,83.88104191914786,-1,CG16790
head,FBgn0038149,0.9359958907578605,4.621947081601796,13.75999517996501,2.4391695088642937e-41,4.022844931448867e-39,82.9498904428444,1,GILT1
head,FBgn0023477,-0.6304381424518226,7.656627869522815,-13.740183629576508,3.1368435311482237e-41,5.05031808514864e-39,82.73903463094295,-1,Taldo
