,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
6572,FBgn0263929,head,ctrl,0.20433183541308103,2659,0.20433183541308103
6573,FBgn0083975,head,ctrl,0.16106320109979286,1011,0.16106320109979286
6574,FBgn0086778,head,ctrl,0.2326900713598488,3405,0.2326900713598488
6575,FBgn0015391,head,ctrl,0.15164963472576232,922,0.15164963472576232
6576,FBgn0032601,head,ctrl,0.13854176280921202,415,0.13854176280921202
6577,FBgn0000008,head,ctrl,0.13866494352706168,192,0.13866494352706168
6578,FBgn0003612,head,ctrl,0.1515486451470564,852,0.1515486451470564
6579,FBgn0003231,head,ctrl,0.16072487546483757,992,0.16072487546483757
6580,FBgn0003278,head,ctrl,0.1371214696702962,420,0.1371214696702962
6581,FBgn0027054,head,ctrl,0.13419296886637266,290,0.13419296886637266
6582,FBgn0038653,head,ctrl,0.21815155956846827,2911,0.21815155956846827
6583,FBgn0039350,head,ctrl,0.1512158540953354,756,0.1512158540953354
6584,FBgn0002524,head,ctrl,0.15777748555613463,1438,0.15777748555613463
6585,FBgn0036372,head,ctrl,0.1365369111325032,454,0.1365369111325032
6586,FBgn0037521,head,ctrl,0.2413237765113606,3669,0.2413237765113606
6587,FBgn0027568,head,ctrl,0.12967393240396272,21,0.12967393240396272
6588,FBgn0039204,head,ctrl,0.18953645590121007,2496,0.18953645590121007
6589,FBgn0028507,head,ctrl,0.1691948097185614,1793,0.1691948097185614
6590,FBgn0027549,head,ctrl,0.13162554928027762,126,0.13162554928027762
6591,FBgn0030847,head,ctrl,0.19524397336846008,2788,0.19524397336846008
6592,FBgn0032015,head,ctrl,0.19651633670374913,2661,0.19651633670374913
6593,FBgn0267972,head,ctrl,0.1595653388268624,1003,0.1595653388268624
6594,FBgn0051636,head,ctrl,0.14034671991742967,106,0.14034671991742967
6595,FBgn0003328,head,ctrl,0.13614381795124347,270,0.13614381795124347
6596,FBgn0046692,head,ctrl,0.18169296951393152,2499,0.18169296951393152
6597,FBgn0038755,head,ctrl,0.1614506338838757,1424,0.1614506338838757
6598,FBgn0034728,head,ctrl,0.1381949047331843,197,0.1381949047331843
6599,FBgn0030261,head,ctrl,0.1647817335597836,1523,0.1647817335597836
6600,FBgn0039817,head,ctrl,0.1312638845575158,64,0.1312638845575158
6601,FBgn0031868,head,ctrl,0.14952516840844685,992,0.14952516840844685
6602,FBgn0003892,head,ctrl,0.13756267564299962,190,0.13756267564299962
6603,FBgn0028879,head,ctrl,0.1866064069565102,2480,0.1866064069565102
6604,FBgn0010222,head,ctrl,0.14560911770011445,302,0.14560911770011445
6605,FBgn0027610,head,ctrl,0.169208327071748,823,0.169208327071748
6606,FBgn0005386,head,ctrl,0.1413488142575728,646,0.1413488142575728
6607,FBgn0025634,head,ctrl,0.1321785623951554,58,0.1321785623951554
6608,FBgn0025833,head,ctrl,0.1479671924284006,941,0.1479671924284006
6609,FBgn0032341,head,ctrl,0.18525041918929988,2571,0.18525041918929988
6610,FBgn0036314,head,ctrl,0.1886973019578951,2481,0.1886973019578951
6611,FBgn0020385,head,ctrl,0.21898435873472508,2023,0.21898435873472508
6612,FBgn0031832,head,ctrl,0.14895827662600356,916,0.14895827662600356
6613,FBgn0038535,head,ctrl,0.14484131499095934,549,0.14484131499095934
6614,FBgn0016698,head,ctrl,0.13549856093144766,288,0.13549856093144766
6615,FBgn0032486,head,ctrl,0.135825361397017,371,0.135825361397017
6616,FBgn0037809,head,ctrl,0.13566875770458767,267,0.13566875770458767
6617,FBgn0033252,head,ctrl,0.15744112371448998,1394,0.15744112371448998
6618,FBgn0030581,head,ctrl,0.22442117154257238,3269,0.22442117154257238
6619,FBgn0062442,head,ctrl,0.1799453055145965,2182,0.1799453055145965
6620,FBgn0032719,head,ctrl,0.1828507910190457,2363,0.1828507910190457
6621,FBgn0004828,head,ctrl,0.2444324855902109,3647,0.2444324855902109
6622,FBgn0010520,head,ctrl,0.1618428804400431,1761,0.1618428804400431
6623,FBgn0000115,head,ctrl,0.19042251460810317,2580,0.19042251460810317
6624,FBgn0026438,head,ctrl,0.2137767122443831,2748,0.2137767122443831
6625,FBgn0038087,head,ctrl,0.1744583021335246,1931,0.1744583021335246
6626,FBgn0034579,head,ctrl,0.14754243294900263,1006,0.14754243294900263
6627,FBgn0039505,head,ctrl,0.13953353849953284,280,0.13953353849953284
6628,FBgn0039738,head,ctrl,0.16517616835388263,1593,0.16517616835388263
6629,FBgn0050502,head,ctrl,0.14001573519910196,310,0.14001573519910196
