tissue,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
head,FBgn0031081,110.89685764586658,0.21146736916663433,0.05549557014007343,3.8105270138297658,1.3867085763518292e-4,5.118407965770235e-4,Nep3
head,FBgn0031080,20.975818256502514,0.08595554667539236,0.1067347935789422,0.8053189011118358,0.4206356773806993,0.5207503570941575,CG12655
head,FBgn0052350,38.59256018680934,-0.11563467282321704,0.09082495247575617,-1.2731597393798066,0.2029613638601767,0.2894800131665292,Vps11
head,FBgn0024733,8039.900143263219,-0.28165181027862124,0.03436981811245356,-8.194742531284085,2.5113012480893575e-16,7.972497201680862e-15,RpL10
head,FBgn0040372,52.66078196491633,-0.08931358337018468,0.07743030296103151,-1.1534706691659684,0.24871724973464368,0.34190405421948783,G9a
head,FBgn0024989,25.252556937504444,-0.3624357436899161,0.0990541381824212,-3.658966201113608,2.532347321099452e-4,8.652719851073521e-4,CG3777
head,FBgn0023536,29.101093661556245,-0.3200002350319623,0.09551428775170662,-3.3502865651243328,8.072799621599414e-4,0.0024435215327330007,CG3156
head,FBgn0023534,57.379432374580816,0.23243238202694463,0.07698911100470592,3.0190293015948364,0.0025358600395701245,0.0066514684203154316,CG17778
head,FBgn0023537,400.8919514440042,-0.05168721997914891,0.03762762880911969,-1.373650735244354,0.1695501380166408,0.25159052737953147,CG17896
head,FBgn0029525,33.24816722459849,0.2681858218691369,0.09351209989326605,2.86792641995252,0.004131716100233567,0.010336168801250233,CG18273
head,FBgn0052816,112.31597054515808,-0.3603146309600962,0.09787527923814869,-3.6813650368586326,2.3198858144364147e-4,8.061185959516463e-4,CG32816
head,FBgn0000108,1857.956645776022,0.377272938036768,0.028738180372747717,13.12793409824006,2.2778626233146604e-39,6.696916112545102e-37,Appl
head,FBgn0025640,95.65261608038912,-0.2043374854641234,0.07276084262498661,-2.8083441325341716,0.004979698172552018,0.012200260522752445,CG13369
head,FBgn0025635,25.365014068685614,-0.3609447341704833,0.111635485887467,-3.2332437244401833,0.001223930949248549,0.0035429028590833423,Hinfp
head,FBgn0001341,26.087674433552138,-0.5762982083189431,0.12236379011984568,-4.709711980599035,2.4806709160115156e-6,1.4082896297966903e-5,Mybbp1A
head,FBgn0003575,56.71443910377851,-0.13259200531873017,0.06966733016939712,-1.9032163999442893,0.05701231406736556,0.10034285989680529,su(sable)
head,FBgn0025634,34.22618555444907,-0.08205061653714016,0.0924415882760746,-0.8875941885820693,0.3747590808071398,0.4749102144711168,CG13367
head,FBgn0025638,210.63691870399637,-0.29239547575401464,0.06015254921008653,-4.860899157121425,1.1685377197848423e-06,7.112198074874081e-6,Roc1a
head,FBgn0040383,75.91087692251662,-0.12426425455486113,0.06682205637749285,-1.8596293094134124,0.06293798964056425,0.10898506682445468,CG5254
head,FBgn0040382,1106.6611682330529,0.17281313110102536,0.032124714067189766,5.3794449575358625,7.471583363561732e-8,5.902201717804255e-7,CG5273
head,FBgn0027343,36.66792713470445,-0.14648324794624157,0.09357857815491487,-1.5653502204718857,0.1175008136653489,0.18512127260137215,fz3
head,FBgn0025621,44.97069646999667,0.04650228546120397,0.081002835515451,0.5740821931145093,0.5659121826230653,0.6577343036949411,CG16989
head,FBgn0015799,55.31833957052924,-0.3163022036480094,0.0779782975841636,-4.056285061963783,4.9859402336128286e-5,2.0709415147229698e-4,Rbf
head,FBgn0015288,116.2448105783829,-0.3146971947178573,0.05624383502245871,-5.595230029961429,2.203294470151311e-8,1.9224099622146017e-7,RpL22
head,FBgn0025639,78.50124894530853,0.11290737441970758,0.061117869072644104,1.8473709265862488,0.06469339985086411,0.11174856620958828,Hmt4-20
head,FBgn0002579,8092.084940581684,-0.3843070716743826,0.03229972645167607,-11.898152519940009,1.2099615160871857e-32,2.211286424805824e-30,RpL36
head,FBgn0026879,309.90038906882035,-0.473143683555456,0.0547534572680194,-8.641348093133317,5.5553576614278045e-18,2.222800503347622e-16,CG13364
head,FBgn0029529,78.87751664761527,-0.15041186385091004,0.0683482089192038,-2.200670159897179,0.027759382765066662,0.054032511876045124,CG13365
head,FBgn0025633,105.78757094811262,-0.10574446283134226,0.060625477106331545,-1.7442248354743028,0.08111989231703833,0.13533992396935926,spdi
head,FBgn0040397,72.27630344822477,-0.20752225573792826,0.09023931995896452,-2.2996877174196024,0.02146591847913525,0.04348488339002773,CG3655
head,FBgn0040349,79.39803440321666,-1.327324887362381,0.1325069280590006,-10.01702255727618,1.283101612630537e-23,9.230141600646481e-22,CG3699
head,FBgn0040364,83.43011017587769,0.2714348483998633,0.07280910605723831,3.7280343503527833,1.9297907942130872e-4,6.871640521573931e-4,CG11378
head,FBgn0024362,109.47740528693319,-0.23263781625389918,0.0633718252316539,-3.670997567191702,2.416056402026445e-4,8.334179743862904e-4,Naa30A
head,FBgn0024364,38.38527675616724,-0.46435165112375815,0.09535999149165283,-4.869459863200642,1.1190370961563005e-6,6.835527411209489e-6,CG11417
head,FBgn0024987,180.54647477575537,0.02230027220984999,0.04193009404785482,0.5318440780122908,0.5948339914752281,0.6815092257464406,ssx
head,FBgn0023169,210.81476380686473,0.04327336845287637,0.03952427614644653,1.0948554324572217,0.2735799768033677,0.3707310226742229,AMPKalpha
head,FBgn0052813,77.21426419111857,-0.12651991864139994,0.07013560511194271,-1.8039328018837624,0.07124184198808425,0.12125279021480637,CG32813
head,FBgn0024985,189.58636854180452,-0.010181985783370696,0.048561157696509434,-0.2096734564485594,0.8339225437065005,0.8746679448647986,Rilpl
