Geneid,SYMBOL,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
FBgn0036510,SCCRO,head,0.008770862661669543,0.10901640246557968,0.4411045340074321,0.49620165979555364,0.5037983402044464,0.14180300039873642,0.06269380619701424,0.020561065957404055,0.00690831372409619,0.0967681369746922
FBgn0036512,Ufsp2,head,-0.13206525254557494,0.128437387910978,0.7894476111279084,0.17339918461876905,0.2105523888720916,0.04670268647443998,0.037153204253322546,0.010402304559305155,-0.10080873751264906,0.11406306099327504
FBgn0036514,CG12301,head,-0.4672878711158081,0.1829481030409648,0.9758882516408692,0.01889351900113454,0.02411174835913077,0.004048553798570214,0.005218229357996226,8.871740380591795e-4,-0.3106793503653959,0.15438571529343267
FBgn0036515,AIMP2,head,-0.20822104048411605,0.11703528121823963,0.9305134212466991,0.05255010716107489,0.06948657875330089,0.013277653005665368,0.016936471592225995,0.0036924100168339385,-0.16836748288125725,0.10778788744623094
FBgn0036518,RhoGAP71E,head,-0.0675081365380917,0.11466772516621128,0.666578655992477,0.28064103934835066,0.333421344007523,0.08314707901104766,0.05278030465917231,0.01810119821343606,-0.05286010337306103,0.102255745876011
FBgn0010105,comm,head,0.13611417452145125,0.11286688536575551,0.13114306927696942,0.8344848363541174,0.1655151636458826,0.035179825082254604,0.03437209436891316,0.009114988985452118,0.10931343911526452,0.10332354736535054
FBgn0041160,comm2,head,-0.487146164010378,0.15112796596490807,0.9961270178334097,0.002771685007281021,0.0038729821665902664,5.152953248988148e-4,0.0011012971593092453,1.53841420138787e-4,-0.36444547776346786,0.13445201194163148
FBgn0036516,CG7656,head,0.24979324401426073,0.08473657150186377,0.0026092759953474766,0.9957032964940622,0.00429670350593789,5.872829072089496e-4,0.0016874275105904135,2.439397818066573e-4,0.22409334411684406,0.08097515293195219
FBgn0036505,CG7945,head,-0.048946293036374114,0.07929247677874095,0.6717227881166217,0.25887421866137883,0.32827721188337833,0.08200182154246478,0.06940299322199953,0.02155267211127285,-0.04137129051784407,0.07377474513457598
FBgn0036502,CG7841,head,0.12563401865071855,0.1325842057702043,0.19334566528590597,0.7679364020861146,0.23206359791388537,0.05325003842025882,0.03871793262797939,0.011095138172510415,0.09446645995304327,0.11663100003331006
FBgn0040805,CG12355,head,-0.03767927176947014,0.11559027112935891,0.5808242859864782,0.3615565169415716,0.4191757140135218,0.11230572302793593,0.057619197071950214,0.01953472388196498,-0.02926700080858872,0.10213726782119485
FBgn0029114,Tollo,head,-0.10643256266888391,0.13889789523372006,0.7170410203028075,0.24073929501066188,0.2829589796971925,0.06834551006218137,0.042219684686530645,0.01297695864808711,-0.07807981821672609,0.12017676658426459
FBgn0036494,Toll-6,head,0.32639393199921646,0.12182100129500315,0.007896499893509672,0.9887856462090927,0.011214353790907216,0.0015527435761310295,0.0033178538973975447,5.07765628628451e-4,0.26474972009595343,0.11153362334530931
