Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0030230	head	ctrl	0.16212	0.794173	0.956293	0.169529
FBgn0052676	head	ctrl	0	0.233091	0.233091	1e-06
FBgn0050295	head	ctrl	0.574909	1.142706	1.717615	0.334714
FBgn0020617	head	ctrl	2e-06	1.560043	1.560045	1e-06
FBgn0034564	head	ctrl	0.023305	0.688587	0.711892	0.032737
FBgn0034570	head	ctrl	0.021611	0.297009	0.31862	0.067826
FBgn0034572	head	ctrl	1e-06	1.437974	1.437975	1e-06
FBgn0050296	head	ctrl	0.023497	0.245766	0.269263	0.087265
FBgn0034576	head	ctrl	0.004732	0.075011	0.079743	0.059343
FBgn0034577	head	ctrl	0.037058	0.837924	0.874982	0.042353
FBgn0034579	head	ctrl	0.029302	0.566911	0.596213	0.049148
FBgn0003748	head	ctrl	0.15376	0.145541	0.299301	0.513729
FBgn0034583	head	ctrl	0.010092	0.139592	0.149684	0.067422
FBgn0003391	head	ctrl	0	0.368818	0.368818	1e-06
FBgn0034573	head	ctrl	1e-06	0.634944	0.634945	1e-06
FBgn0001133	head	ctrl	0.00365	0.790541	0.794191	0.004596
FBgn0050291	head	ctrl	0.355682	0.899629	1.25531	0.283342
FBgn0008636	head	ctrl	0.063796	1.387879	1.451674	0.043946
FBgn0015524	head	ctrl	1e-06	1.21477	1.214772	1e-06
FBgn0040653	head	ctrl	0.427809	0.588978	1.016787	0.420746
FBgn0011674	head	ctrl	1e-06	1.204625	1.204626	1e-06
FBgn0002736	head	ctrl	1e-06	0.529329	0.52933	1e-06
FBgn0021872	head	ctrl	0.010863	0.111916	0.12278	0.088479
FBgn0003162	head	ctrl	0.065459	0.167259	0.232718	0.281279
FBgn0003891	head	ctrl	0.095145	0.119774	0.214919	0.4427
FBgn0034602	head	ctrl	1e-06	0.612195	0.612195	1e-06
FBgn0016726	head	ctrl	0.032031	0.148069	0.180101	0.177852
FBgn0020306	head	ctrl	0	0.228557	0.228557	1e-06
FBgn0034622	head	ctrl	0.330946	1.798321	2.129267	0.155427
FBgn0034628	head	ctrl	0.016094	0.938455	0.954549	0.01686
FBgn0034629	head	ctrl	1.289134	0.787982	2.077116	0.620636
FBgn0034626	head	ctrl	0.036857	0.616461	0.653318	0.056416
FBgn0000395	head	ctrl	0.12195	0.774998	0.896948	0.135961
FBgn0050394	head	ctrl	0.103013	0.649669	0.752683	0.136862
FBgn0050390	head	ctrl	0.108115	1.256952	1.365067	0.079201
FBgn0050392	head	ctrl	0.092782	0.613778	0.70656	0.131315
FBgn0034606	head	ctrl	0.029631	0.345083	0.374715	0.079077
FBgn0034605	head	ctrl	0.065798	0.382769	0.448567	0.146684
FBgn0027073	head	ctrl	0.386661	0.987066	1.373728	0.281469
FBgn0034598	head	ctrl	0.003143	0.371681	0.374823	0.008384
FBgn0050389	head	ctrl	0	0.371171	0.371171	1e-06
FBgn0034590	head	ctrl	0.011883	1.622884	1.634768	0.007269
FBgn0020312	head	ctrl	0.016728	0.651982	0.66871	0.025016
FBgn0026369	head	ctrl	0.03265	0.358668	0.391318	0.083436
FBgn0003731	head	ctrl	0.022174	0.181009	0.203184	0.109135
FBgn0034641	head	ctrl	0.018475	0.762684	0.781159	0.02365
FBgn0034643	head	ctrl	0.371021	0.924262	1.295283	0.28644
FBgn0034644	head	ctrl	0.151827	0.137367	0.289194	0.525002
FBgn0034645	head	ctrl	0.010573	0.278657	0.289229	0.036554
FBgn0034650	head	ctrl	0.07606	0.908364	0.984424	0.077263
FBgn0050263	head	ctrl	0.101427	1.741537	1.842964	0.055035
FBgn0034654	head	ctrl	0.057006	0.180495	0.237501	0.240025
FBgn0034655	head	ctrl	2e-06	1.546539	1.546541	1e-06
FBgn0010228	head	ctrl	0.010385	0.139338	0.149724	0.069364
FBgn0050285	head	ctrl	0.07565	0.190999	0.26665	0.283707
FBgn0034647	head	ctrl	0.193153	1.009104	1.202258	0.160659
FBgn0034646	head	ctrl	1e-06	0.743641	0.743641	1e-06
FBgn0016641	head	ctrl	0.0062	0.451752	0.457952	0.013539
FBgn0000326	head	ctrl	1e-06	0.680539	0.680539	1e-06
FBgn0042180	head	ctrl	0.13243	0.987328	1.119758	0.118267
FBgn0034639	head	ctrl	1e-06	1.368689	1.368691	1e-06
FBgn0034638	head	ctrl	0.023373	0.094648	0.118022	0.198043
FBgn0034636	head	ctrl	0.072561	0.833326	0.905888	0.0801
FBgn0034631	head	ctrl	2e-06	1.512459	1.51246	1e-06
FBgn0010470	head	ctrl	0.1001	0.284011	0.384111	0.260603
FBgn0010415	head	ctrl	0.006103	0.079817	0.08592	0.071034
FBgn0004362	head	ctrl	0.128542	0.365361	0.493903	0.260258
FBgn0034657	head	ctrl	1e-06	1.300794	1.300795	1e-06
FBgn0034674	head	ctrl	0.020124	0.572246	0.59237	0.033973
FBgn0034660	head	ctrl	0.777781	0.721026	1.498808	0.518933
FBgn0050404	head	ctrl	0.008246	0.210269	0.218515	0.037735
FBgn0067102	head	ctrl	1e-06	0.667251	0.667251	1e-06
FBgn0034691	head	ctrl	0.014047	0.300206	0.314252	0.044699
FBgn0034694	head	ctrl	1e-06	0.66402	0.664021	1e-06
FBgn0029147	head	ctrl	0.164028	1.969692	2.13372	0.076874
FBgn0034704	head	ctrl	0.024861	1.065121	1.089983	0.022809
FBgn0034708	head	ctrl	0.014815	0.454276	0.469091	0.031582
FBgn0025186	head	ctrl	0	0.435481	0.435481	1e-06
FBgn0020307	head	ctrl	0.024578	0.880172	0.904751	0.027166
FBgn0034716	head	ctrl	1e-06	0.830999	0.831	1e-06
FBgn0034709	head	ctrl	1e-06	1.458612	1.458613	1e-06
FBgn0034697	head	ctrl	0.021755	0.389614	0.411369	0.052885
FBgn0034693	head	ctrl	0.047301	0.193097	0.240398	0.196762
FBgn0034689	head	ctrl	1e-06	0.677073	0.677074	1e-06
FBgn0034688	head	ctrl	0.025084	0.542644	0.567729	0.044183
FBgn0034253	head	ctrl	0.100599	1.770716	1.871315	0.053758
FBgn0034247	head	ctrl	0.694427	1.014694	1.70912	0.406306
FBgn0034246	head	ctrl	0.024528	0.902288	0.926816	0.026465
FBgn0034245	head	ctrl	0	0.152806	0.152806	1e-06
FBgn0034243	head	ctrl	1e-06	1.281684	1.281686	1e-06
FBgn0010620	head	ctrl	0.038729	0.214499	0.253228	0.152941
FBgn0016697	head	ctrl	0	0.278126	0.278127	1e-06
FBgn0022029	head	ctrl	0.010766	0.513915	0.524681	0.020519
FBgn0034215	head	ctrl	0.027498	0.302846	0.330344	0.083241
FBgn0024196	head	ctrl	0.024655	0.166585	0.19124	0.128922
FBgn0028953	head	ctrl	0.021315	0.15062	0.171935	0.123971
FBgn0022987	head	ctrl	0.039249	0.392118	0.431367	0.090988
FBgn0050104	head	ctrl	0.368204	0.954545	1.322748	0.278363
FBgn0034229	head	ctrl	0.185347	0.170824	0.356171	0.520387
FBgn0034230	head	ctrl	0.010334	0.773829	0.784163	0.013178
FBgn0034232	head	ctrl	1e-06	0.734321	0.734322	1e-06
FBgn0034237	head	ctrl	0.08522	0.103661	0.188881	0.451183
FBgn0028382	head	ctrl	1e-06	0.893545	0.893546	1e-06
FBgn0034240	head	ctrl	0.167932	0.496719	0.664651	0.252661
FBgn0010409	head	ctrl	0.053216	0.08549	0.138706	0.383662
FBgn0034223	head	ctrl	1e-06	1.04959	1.049591	1e-06
FBgn0027506	head	ctrl	0.00834	0.623052	0.631392	0.013209
FBgn0025716	head	ctrl	0.036556	0.664701	0.701257	0.052129
FBgn0034214	head	ctrl	1e-06	1.293944	1.293945	1e-06
FBgn0021818	head	ctrl	0.002926	0.692532	0.695457	0.004207
FBgn0050101	head	ctrl	0.39533	1.985682	2.381011	0.166034
FBgn0034210	head	ctrl	0.007618	1.061093	1.068712	0.007128
FBgn0034179	head	ctrl	0.008889	0.258046	0.266934	0.033299
FBgn0023172	head	ctrl	0.075679	0.334541	0.410221	0.184484
FBgn0034182	head	ctrl	1e-06	1.237042	1.237043	1e-06
FBgn0034184	head	ctrl	0.018929	0.229965	0.248893	0.076052
FBgn0026721	head	ctrl	0.092178	0.264409	0.356587	0.2585
FBgn0034191	head	ctrl	0.087403	0.826137	0.91354	0.095675
FBgn0050456	head	ctrl	1e-06	0.947724	0.947725	1e-06
FBgn0034194	head	ctrl	1e-06	0.644984	0.644985	1e-06
FBgn0034198	head	ctrl	0.144416	0.235951	0.380367	0.379675
FBgn0034199	head	ctrl	0.062049	0.207001	0.26905	0.230623
FBgn0034200	head	ctrl	0.169581	0.245653	0.415234	0.408398
FBgn0000079	head	ctrl	10.650382	1.135573	11.785955	0.90365
FBgn0010591	head	ctrl	0.08856	0.319761	0.408321	0.216888
FBgn0050460	head	ctrl	0.087026	0.709209	0.796235	0.109297
FBgn0034186	head	ctrl	0.187506	1.711161	1.898668	0.098757
FBgn0034181	head	ctrl	0	0.310834	0.310835	1e-06
FBgn0034180	head	ctrl	0.061917	0.35328	0.415197	0.149127
FBgn0034158	head	ctrl	0.026847	0.251172	0.278019	0.096565
FBgn0028737	head	ctrl	0.119078	0.127791	0.24687	0.482353
FBgn0034162	head	ctrl	0.09293	0.226534	0.319465	0.290894
FBgn0025827	head	ctrl	0.205056	0.459558	0.664613	0.308534
FBgn0046999	head	ctrl	0.167561	0.409167	0.576728	0.290538
FBgn0004784	head	ctrl	0.042341	0.214227	0.256567	0.165027
FBgn0003091	head	ctrl	0.074444	0.169332	0.243775	0.305379
FBgn0034172	head	ctrl	0.035043	0.629358	0.6644	0.052743
FBgn0004580	head	ctrl	0.042587	0.203945	0.246532	0.172742
FBgn0034176	head	ctrl	0.020311	0.445249	0.46556	0.043626
FBgn0025833	head	ctrl	0.245273	1.892502	2.137775	0.114733
FBgn0014870	head	ctrl	0.058212	0.397672	0.455884	0.12769
FBgn0010213	head	ctrl	0.004948	0.153435	0.158383	0.031239
FBgn0011260	head	ctrl	0.152863	0.427728	0.580592	0.263289
FBgn0034135	head	ctrl	0.082985	0.371547	0.454532	0.182573
FBgn0034137	head	ctrl	0.217389	1.338936	1.556324	0.139681
FBgn0016131	head	ctrl	1e-06	0.77419	0.774191	1e-06
FBgn0003274	head	ctrl	0.417946	0.057613	0.475559	0.878852
FBgn0034145	head	ctrl	0.051636	0.140234	0.19187	0.269122
FBgn0024232	head	ctrl	0.047304	1.204844	1.252148	0.037778
FBgn0050463	head	ctrl	0.02256	0.445042	0.467602	0.048246
FBgn0024315	head	ctrl	0.050754	0.221824	0.272578	0.186201
FBgn0040505	head	ctrl	0.008916	0.240513	0.249429	0.035744
FBgn0034143	head	ctrl	0.060628	0.999324	1.059951	0.057198
FBgn0034142	head	ctrl	0.025365	0.377326	0.402691	0.062989
FBgn0034141	head	ctrl	0.112167	0.313493	0.42566	0.263513
FBgn0034140	head	ctrl	0.347536	0.286395	0.633931	0.548224
FBgn0034138	head	ctrl	0.043351	0.118164	0.161516	0.268402
FBgn0034136	head	ctrl	0.027503	1.201288	1.228792	0.022382
FBgn0034103	head	ctrl	0.050483	0.975275	1.025758	0.049216
FBgn0034110	head	ctrl	0.020481	0.459019	0.4795	0.042714
FBgn0034114	head	ctrl	0.031299	1.344523	1.375822	0.022749
FBgn0010611	head	ctrl	0.028148	0.296553	0.324701	0.086688
FBgn0034118	head	ctrl	0.120665	0.562591	0.683256	0.176603
FBgn0034126	head	ctrl	0.861958	0.866895	1.728853	0.498572
FBgn0034128	head	ctrl	0.064034	0.516713	0.580747	0.110261
FBgn0034117	head	ctrl	0.210676	0.394067	0.604743	0.348373
FBgn0034109	head	ctrl	0.068976	1.318371	1.387347	0.049718
FBgn0001308	head	ctrl	0	0.172808	0.172808	1e-06
FBgn0025519	head	ctrl	1e-06	0.728481	0.728482	1e-06
FBgn0034093	head	ctrl	1e-06	0.73208	0.732081	1e-06
FBgn0034091	head	ctrl	0	0.355626	0.355627	1e-06
FBgn0034059	head	ctrl	1e-06	0.667924	0.667924	1e-06
FBgn0034060	head	ctrl	1e-06	0.678206	0.678206	1e-06
FBgn0034063	head	ctrl	0.277206	0.974547	1.251753	0.221454
FBgn0034065	head	ctrl	0.131629	1.384941	1.51657	0.086794
FBgn0034067	head	ctrl	0.228735	0.515501	0.744236	0.307342
FBgn0034069	head	ctrl	0.396485	1.094058	1.490543	0.266
FBgn0034070	head	ctrl	0.027401	0.266696	0.294097	0.09317
FBgn0014020	head	ctrl	0.009781	0.069776	0.079557	0.122946
FBgn0034075	head	ctrl	0.053167	0.45884	0.512008	0.10384
FBgn0034076	head	ctrl	0.38309	3.612123	3.995212	0.095887
FBgn0001124	head	ctrl	0.071008	0.110681	0.181689	0.390823
FBgn0050094	head	ctrl	1e-06	1.217381	1.217382	1e-06
FBgn0027091	head	ctrl	1e-06	0.698259	0.69826	1e-06
FBgn0034083	head	ctrl	0.083964	0.482452	0.566416	0.148237
FBgn0015754	head	ctrl	0	0.164893	0.164893	1e-06
FBgn0034087	head	ctrl	1e-06	1.182583	1.182585	1e-06
FBgn0034086	head	ctrl	0.256216	1.08775	1.343966	0.190642
FBgn0034084	head	ctrl	1e-06	1.004039	1.00404	1e-06
FBgn0034068	head	ctrl	0.024886	0.4642	0.489086	0.050883
FBgn0034066	head	ctrl	0.008506	0.173674	0.18218	0.046689
FBgn0010590	head	ctrl	0.022604	0.261488	0.284093	0.079566
FBgn0034061	head	ctrl	0.013762	0.421504	0.435266	0.031617
FBgn0020236	head	ctrl	0.145679	0.257825	0.403505	0.361035
FBgn0034058	head	ctrl	0.035397	0.481309	0.516706	0.068505
FBgn0034057	head	ctrl	0	0.45408	0.454081	1e-06
FBgn0050089	head	ctrl	0.005498	0.498894	0.504393	0.010901
FBgn0034046	head	ctrl	0.047891	0.418202	0.466093	0.10275
FBgn0034050	head	ctrl	0.01124	1.47825	1.48949	0.007546
FBgn0034051	head	ctrl	0.010981	0.272761	0.283742	0.038702
FBgn0015247	head	ctrl	0.007263	0.179384	0.186647	0.038914
FBgn0034049	head	ctrl	0.020059	0.902659	0.922718	0.021739
FBgn0022160	head	ctrl	0.09115	0.204972	0.296122	0.307812
FBgn0050083	head	ctrl	4.677048	0.653228	5.330276	0.877449
FBgn0034025	head	ctrl	0.115423	0.635211	0.750634	0.153768
FBgn0022097	head	ctrl	0.012012	0.094197	0.106209	0.113093
FBgn0034035	head	ctrl	7.7e-05	0.871497	0.871574	8.9e-05
FBgn0023441	head	ctrl	0.044654	0.197748	0.242402	0.184214
FBgn0034033	head	ctrl	0.071755	1.181777	1.253532	0.057242
FBgn0024754	head	ctrl	0.049449	0.177157	0.226606	0.218214
FBgn0034032	head	ctrl	1e-06	0.578849	0.57885	1e-06
FBgn0019968	head	ctrl	0.015507	0.274981	0.290488	0.053382
FBgn0034021	head	ctrl	0.011457	0.571831	0.583287	0.019642
FBgn0013467	head	ctrl	0.033336	0.150686	0.184022	0.181151
FBgn0033996	head	ctrl	0	0.475852	0.475852	1e-06
FBgn0003328	head	ctrl	0.031873	0.82502	0.856892	0.037196
FBgn0004698	head	ctrl	0	0.395122	0.395123	1e-06
FBgn0013750	head	ctrl	0.002736	0.157568	0.160304	0.01707
FBgn0026370	head	ctrl	0.008068	0.151708	0.159776	0.050496
FBgn0034010	head	ctrl	0.418748	0.717745	1.136493	0.368456
FBgn0034001	head	ctrl	0.073074	1.517583	1.590657	0.04594
FBgn0033998	head	ctrl	0.003747	0.551931	0.555678	0.006744
FBgn0033995	head	ctrl	1e-06	0.693031	0.693031	1e-06
FBgn0033984	head	ctrl	0.019084	1.027634	1.046719	0.018233
FBgn0033985	head	ctrl	0.01928	1.46389	1.483171	0.012999
FBgn0033987	head	ctrl	0.008142	0.338334	0.346476	0.0235
FBgn0033988	head	ctrl	0.033089	0.514845	0.547934	0.060389
FBgn0015371	head	ctrl	0.009756	0.164368	0.174124	0.05603
FBgn0033990	head	ctrl	0.03709	1.358318	1.395409	0.02658
FBgn0033989	head	ctrl	0.020376	0.280323	0.300699	0.067761
FBgn0033983	head	ctrl	1e-06	1.022346	1.022347	1e-06
FBgn0027596	head	ctrl	0.285726	0.995215	1.280941	0.223059
FBgn0033951	head	ctrl	0.022422	0.632894	0.655316	0.034215
FBgn0010388	head	ctrl	2.000726	3.044104	5.04483	0.396589
FBgn0012042	head	ctrl	1.747222	2.80012	4.547342	0.384229
FBgn0041581	head	ctrl	1.154618	2.090809	3.245427	0.355768
FBgn0050476	head	ctrl	1e-06	0.782797	0.782798	1e-06
FBgn0033961	head	ctrl	0.00232	0.213784	0.216104	0.010736
FBgn0015602	head	ctrl	0.044614	0.335767	0.380381	0.117288
FBgn0033968	head	ctrl	0.125466	0.228317	0.353782	0.354641
FBgn0033970	head	ctrl	0.213053	0.273197	0.48625	0.438156
FBgn0013773	head	ctrl	0.292893	0.601618	0.894511	0.327434
FBgn0015714	head	ctrl	8.680728	0.498162	9.17889	0.945727
FBgn0033978	head	ctrl	5.266056	0.2119	5.477956	0.961318
FBgn0033980	head	ctrl	0.479946	0.189987	0.669934	0.716409
FBgn0013772	head	ctrl	0.845881	0.880609	1.72649	0.489942
FBgn0033981	head	ctrl	0.13308	0.765003	0.898083	0.148183
FBgn0027783	head	ctrl	2e-06	1.897139	1.897141	1e-06
FBgn0033971	head	ctrl	0.150094	0.814589	0.964683	0.155589
FBgn0001319	head	ctrl	1e-06	1.026363	1.026364	1e-06
FBgn0020767	head	ctrl	0.003618	0.216615	0.220234	0.016429
FBgn0033960	head	ctrl	0.161119	0.985355	1.146474	0.140534
FBgn0028689	head	ctrl	0.007089	0.1768	0.183889	0.038552
FBgn0033958	head	ctrl	0.062944	0.208521	0.271465	0.231869
FBgn0020269	head	ctrl	0.023982	0.312832	0.336814	0.071204
FBgn0033932	head	ctrl	0.097542	0.884214	0.981756	0.099355
FBgn0033935	head	ctrl	1e-06	1.212237	1.212238	1e-06
FBgn0033936	head	ctrl	0.110134	0.483803	0.593937	0.185431
FBgn0050077	head	ctrl	0.146437	0.451284	0.597721	0.244992
FBgn0010638	head	ctrl	0.044669	0.25735	0.302019	0.147901
FBgn0033949	head	ctrl	0.25666	1.512978	1.769638	0.145035
FBgn0033948	head	ctrl	0.0555	1.323781	1.37928	0.040238
FBgn0026427	head	ctrl	0.051191	0.736431	0.787622	0.064994
FBgn0033945	head	ctrl	0.263538	0.414536	0.678075	0.388657
FBgn0019938	head	ctrl	0.139408	1.298888	1.438297	0.096926
FBgn0033942	head	ctrl	0.178508	1.330395	1.508902	0.118303
FBgn0013725	head	ctrl	0.006417	0.654276	0.660693	0.009712
FBgn0033934	head	ctrl	0.007271	0.150278	0.157548	0.046149
FBgn0033901	head	ctrl	0.068463	0.444467	0.51293	0.133475
FBgn0033903	head	ctrl	0.073929	0.546439	0.620368	0.119169
FBgn0033906	head	ctrl	0.067861	0.125756	0.193617	0.350491
FBgn0000289	head	ctrl	0	0.12854	0.128541	1e-06
FBgn0033913	head	ctrl	0.203533	0.468246	0.671779	0.302976
FBgn0033916	head	ctrl	0.09578	0.949419	1.045199	0.091638
FBgn0033917	head	ctrl	0.042308	1.185774	1.228083	0.034451
FBgn0033918	head	ctrl	0	0.321526	0.321527	1e-06
FBgn0027538	head	ctrl	1e-06	0.642066	0.642066	1e-06
FBgn0033924	head	ctrl	0.091853	0.282711	0.374564	0.245225
FBgn0033928	head	ctrl	0.121604	1.295347	1.416951	0.085821
FBgn0033929	head	ctrl	0.038576	0.547421	0.585997	0.06583
FBgn0033926	head	ctrl	0.345568	0.234245	0.579813	0.595999
FBgn0033925	head	ctrl	0.002215	0.931103	0.933318	0.002373
FBgn0033919	head	ctrl	0.005633	0.200734	0.206367	0.027295
FBgn0001220	head	ctrl	0.051241	0.108602	0.159844	0.320572
FBgn0033915	head	ctrl	0	0.308528	0.308528	1e-06
FBgn0033912	head	ctrl	0.056089	0.108441	0.16453	0.340902
FBgn0005613	head	ctrl	2e-06	1.635141	1.635143	1e-06
FBgn0033907	head	ctrl	0.039256	0.692349	0.731605	0.053657
FBgn0033902	head	ctrl	0.012231	0.109955	0.122186	0.100099
FBgn0033897	head	ctrl	0.014501	0.388196	0.402697	0.036009
FBgn0013770	head	ctrl	0.028079	0.103595	0.131674	0.21325
FBgn0002643	head	ctrl	0.003968	0.250701	0.254668	0.01558
FBgn0040752	head	ctrl	0.087379	0.148293	0.235671	0.370764
FBgn0020620	head	ctrl	0	0.492689	0.49269	1e-06
FBgn0033889	head	ctrl	0.030309	0.402135	0.432443	0.070087
FBgn0033886	head	ctrl	0.03033	0.293585	0.323915	0.093636
FBgn0013733	head	ctrl	0.026641	0.135302	0.161943	0.164509
FBgn0033883	head	ctrl	0.083287	1.378417	1.461704	0.056979
FBgn0033859	head	ctrl	0.053884	0.972131	1.026014	0.052518
FBgn0000633	head	ctrl	1e-06	0.495602	0.495603	1e-06
FBgn0033871	head	ctrl	0.070695	0.592621	0.663316	0.106578
FBgn0033872	head	ctrl	0.034202	0.165275	0.199477	0.171458
FBgn0033875	head	ctrl	0.095855	0.241154	0.337008	0.284428
FBgn0033879	head	ctrl	0.134454	0.355845	0.490299	0.274228
FBgn0033876	head	ctrl	0.17864	0.181399	0.360039	0.496168
FBgn0000662	head	ctrl	0.006317	0.184713	0.19103	0.03307
FBgn0041579	head	ctrl	2.325543	4.077398	6.40294	0.363199
FBgn0033846	head	ctrl	1e-06	0.707122	0.707123	1e-06
FBgn0014877	head	ctrl	0.036673	0.461775	0.498447	0.073574
FBgn0033855	head	ctrl	0.040848	2.194045	2.234893	0.018277
FBgn0027581	head	ctrl	0	0.312859	0.312859	1e-06
FBgn0053156	head	ctrl	1e-06	0.702031	0.702032	1e-06
FBgn0033853	head	ctrl	0.044118	0.271537	0.315655	0.139766
FBgn0004638	head	ctrl	0.015273	0.2056	0.220872	0.069147
FBgn0033844	head	ctrl	0.003172	0.141941	0.145113	0.02186
FBgn0033842	head	ctrl	0.030576	0.843645	0.874221	0.034975
FBgn0000119	head	ctrl	1e-06	0.682369	0.68237	1e-06
FBgn0053138	head	ctrl	0.044816	0.283854	0.32867	0.136355
FBgn0027079	head	ctrl	1e-06	1.322148	1.322149	1e-06
FBgn0040754	head	ctrl	1e-06	0.970053	0.970054	1e-06
FBgn0011763	head	ctrl	0.008558	0.243104	0.251662	0.034005
FBgn0033813	head	ctrl	1e-06	1.144597	1.144598	1e-06
FBgn0033817	head	ctrl	0.166949	0.441461	0.60841	0.274402
FBgn0033820	head	ctrl	0.119836	0.256598	0.376434	0.318346
FBgn0033821	head	ctrl	0.215818	0.261685	0.477503	0.451972
FBgn0033816	head	ctrl	1e-06	0.554971	0.554972	1e-06
FBgn0033814	head	ctrl	0.027871	0.136907	0.164777	0.169141
FBgn0033812	head	ctrl	0.00889	0.353174	0.362064	0.024555
FBgn0043010	head	ctrl	0.015198	0.528483	0.543681	0.027953
FBgn0053182	head	ctrl	2e-06	1.620236	1.620237	1e-06
FBgn0033802	head	ctrl	0.010651	0.307614	0.318266	0.033467
FBgn0033799	head	ctrl	0.206073	0.387167	0.59324	0.347368
FBgn0020370	head	ctrl	0.002551	0.339216	0.341766	0.007463
FBgn0033793	head	ctrl	0.169532	0.480933	0.650466	0.260632
FBgn0000181	head	ctrl	0.034361	0.069952	0.104313	0.329399
FBgn0003975	head	ctrl	0.077033	1.930875	2.007909	0.038365
FBgn0033782	head	ctrl	0.126695	0.698264	0.824959	0.153577
FBgn0033791	head	ctrl	0.033346	0.58787	0.621216	0.053678
FBgn0005624	head	ctrl	1e-06	1.060419	1.06042	1e-06
FBgn0004512	head	ctrl	2e-06	1.57888	1.578881	1e-06
FBgn0033784	head	ctrl	1e-06	0.732518	0.732519	1e-06
FBgn0033783	head	ctrl	0	0.42121	0.421211	1e-06
FBgn0033777	head	ctrl	0.082574	0.266025	0.348598	0.236874
FBgn0033775	head	ctrl	0.444635	0.966269	1.410904	0.315142
FBgn0011592	head	ctrl	0.02503	0.641442	0.666472	0.037556
FBgn0033755	head	ctrl	0.028876	0.727345	0.756221	0.038185
FBgn0027356	head	ctrl	0.027077	0.192984	0.220061	0.123043
FBgn0004435	head	ctrl	0.038441	0.16995	0.208391	0.184466
FBgn0028683	head	ctrl	0.136365	1.527135	1.6635	0.081975
FBgn0011604	head	ctrl	1e-06	0.575479	0.575479	1e-06
FBgn0033762	head	ctrl	0	0.331375	0.331375	1e-06
FBgn0026741	head	ctrl	2e-06	1.665857	1.665859	1e-06
FBgn0020930	head	ctrl	0.047058	0.393363	0.440421	0.106848
FBgn0003326	head	ctrl	1e-06	0.6741	0.6741	1e-06
FBgn0011227	head	ctrl	0.093515	0.17822	0.271735	0.34414
FBgn0026619	head	ctrl	0.045692	0.334493	0.380186	0.120185
FBgn0033769	head	ctrl	1e-06	0.606174	0.606174	1e-06
FBgn0050052	head	ctrl	0.173631	0.245971	0.419602	0.413799
FBgn0033766	head	ctrl	0.018103	1.273824	1.291927	0.014013
FBgn0033761	head	ctrl	1e-06	0.791747	0.791748	1e-06
FBgn0033760	head	ctrl	0.098781	1.186788	1.285569	0.076838
FBgn0033757	head	ctrl	0.093329	1.264373	1.357703	0.068741
FBgn0022764	head	ctrl	0.008237	0.320502	0.32874	0.025058
FBgn0033754	head	ctrl	0.086866	1.423743	1.510609	0.057504
FBgn0033710	head	ctrl	0.063133	0.104094	0.167227	0.37753
FBgn0050203	head	ctrl	0.417905	1.22701	1.644914	0.254059
FBgn0050046	head	ctrl	0.088899	0.705226	0.794125	0.111946
FBgn0033715	head	ctrl	0.028249	1.503689	1.531939	0.01844
FBgn0033716	head	ctrl	0.005368	0.536804	0.542172	0.009902
FBgn0033721	head	ctrl	0.083518	2.634968	2.718486	0.030722
FBgn0033728	head	ctrl	0.34153	0.260447	0.601977	0.567347
FBgn0033730	head	ctrl	0.646159	0.674203	1.320362	0.48938
FBgn0033734	head	ctrl	0	0.426614	0.426615	1e-06
FBgn0050051	head	ctrl	1e-06	1.006218	1.006219	1e-06
FBgn0010238	head	ctrl	0.033174	0.293947	0.327121	0.101411
FBgn0033742	head	ctrl	0.963242	1.06105	2.024292	0.475841
FBgn0033744	head	ctrl	0.054757	1.339729	1.394486	0.039267
FBgn0033752	head	ctrl	0.093318	0.596651	0.689969	0.13525
FBgn0033751	head	ctrl	0	0.326977	0.326977	1e-06
FBgn0033749	head	ctrl	0.060289	0.986913	1.047201	0.057571
FBgn0045063	head	ctrl	0.027285	0.248964	0.276248	0.098768
FBgn0033738	head	ctrl	0.029336	0.443148	0.472484	0.062089
FBgn0033737	head	ctrl	1e-06	1.162064	1.162065	1e-06
FBgn0033717	head	ctrl	0.001135	0.241804	0.242938	0.004671
FBgn0024732	head	ctrl	0.040632	0.566368	0.607001	0.06694
FBgn0028407	head	ctrl	0.016159	1.088064	1.104222	0.014633
FBgn0033683	head	ctrl	0.254768	0.568933	0.823701	0.309297
FBgn0010621	head	ctrl	0.026623	0.989684	1.016307	0.026196
FBgn0033692	head	ctrl	1e-06	1.080708	1.080709	1e-06
FBgn0025454	head	ctrl	0.252373	0.176223	0.428596	0.588836
FBgn0000253	head	ctrl	0.038019	0.119036	0.157055	0.242076
FBgn0033702	head	ctrl	1e-06	1.249783	1.249784	1e-06
FBgn0033699	head	ctrl	0.044412	0.118748	0.16316	0.272201
FBgn0033698	head	ctrl	2e-06	1.558219	1.55822	1e-06
FBgn0033696	head	ctrl	0.541525	1.751451	2.292976	0.236167
FBgn0014184	head	ctrl	0.011576	0.059089	0.070665	0.163821
FBgn0033688	head	ctrl	1e-06	0.599694	0.599694	1e-06
FBgn0033679	head	ctrl	1e-06	1.365783	1.365784	1e-06
FBgn0004839	head	ctrl	0.06037	1.731221	1.791591	0.033696
FBgn0033653	head	ctrl	0.039431	1.148139	1.18757	0.033203
FBgn0033657	head	ctrl	1e-06	0.963344	0.963345	1e-06
