Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0032253	head	ctrl	0.530068	0.735079	1.265147	0.418977
FBgn0032242	head	ctrl	0.028998	0.312305	0.341304	0.084964
FBgn0053303	head	ctrl	0.029622	0.331424	0.361047	0.082046
FBgn0027568	head	ctrl	0.086084	0.430203	0.516287	0.166737
FBgn0032221	head	ctrl	0.034797	0.329225	0.364022	0.09559
FBgn0032218	head	ctrl	0.030691	0.980188	1.010879	0.030361
FBgn0032216	head	ctrl	0.006033	0.375386	0.381419	0.015817
FBgn0027491	head	ctrl	0.024895	0.210576	0.235471	0.105725
FBgn0032213	head	ctrl	0.073146	0.203122	0.276268	0.264765
FBgn0005322	head	ctrl	0	0.335445	0.335446	1e-06
FBgn0032210	head	ctrl	0.022044	0.268286	0.29033	0.075927
FBgn0032208	head	ctrl	0.013824	0.172769	0.186594	0.074087
FBgn0011305	head	ctrl	0.005626	0.141954	0.147581	0.038124
FBgn0032200	head	ctrl	0.074737	0.155106	0.229844	0.325165
