tissue,Geneid,name,estimate,std.error,z.value,p.value
head,FBgn0031081,mean,0.485112809172903,0.0426787427519242,11.3666143352133,4.19599550539411e-29
head,FBgn0031081,dispersion,0.176072935422931,0.115442456304623,1.52520087547618,0.12720900230896
head,FBgn0031080,mean,0.111472615403844,0.0756701547301633,1.4731384625993,0.140862295228846
head,FBgn0031080,dispersion,0.31813397293169,0.115442456304623,2.75577965954065,0.0058552426050111
head,FBgn0052350,mean,0.265873926310611,0.0697482777729296,3.81190668501066,0.000141836253350462
head,FBgn0052350,dispersion,0.282640209234681,0.115442456304623,2.44832116607834,0.0143523658566678
head,FBgn0024733,mean,-0.513889990912037,0.02545720218196,-20.1864284707689,5.07196701788379e-83
head,FBgn0024733,dispersion,0.0698519160541629,0.115442456304623,0.605079953165947,0.545125873538394
head,FBgn0040372,mean,0.108092302456635,0.0637659518959551,1.69514136059642,0.0901955956288602
head,FBgn0040372,dispersion,0.427764337544547,0.115442456304623,3.7054334361683,0.000211029546680326
head,FBgn0024989,mean,-0.279969345998751,0.0733574186683184,-3.81651032821394,0.000139234831375184
head,FBgn0024989,dispersion,0.236795165937965,0.115442456304623,2.05119653131014,0.0402478115689338
head,FBgn0023536,mean,-0.245528381932515,0.0709834465278397,-3.45895267055283,0.000553002848987517
head,FBgn0023536,dispersion,0.294699266685916,0.115442456304623,2.55278063304787,0.0106866779746244
head,FBgn0023534,mean,0.318673925936238,0.0529334282932765,6.02027747325626,2.04676114696805e-09
head,FBgn0023534,dispersion,0.713076500767722,0.115442456304623,6.17689993433697,6.53724765404742e-10
head,FBgn0023537,mean,-0.351351809885212,0.0291345398621999,-12.0596313361059,1.9424401165588e-32
head,FBgn0023537,dispersion,0.362884775395453,0.115442456304623,3.14342562529937,0.00166982844023797
head,FBgn0029525,mean,0.391757639215647,0.0805922104128442,4.86098640561931,1.25381356879562e-06
head,FBgn0029525,dispersion,0.370986062954747,0.115442456304623,3.21360160577155,0.00131081410760448
head,FBgn0052816,mean,-0.187215096113867,0.0778513412389263,-2.40477675958469,0.0162676756194348
head,FBgn0052816,dispersion,0.457447779768053,0.115442456304623,3.96256104046303,7.41500405984722e-05
head,FBgn0000108,mean,0.536869373105848,0.0306360722382511,17.5240928057198,2.59602852910786e-64
head,FBgn0000108,dispersion,-0.25576746007391,0.115442456304623,-2.21554069673471,0.0267229742064303
head,FBgn0025640,mean,-0.437105394158122,0.0484601023611683,-9.01990241168745,4.10922446112459e-19
head,FBgn0025640,dispersion,0.424993471306073,0.115442456304623,3.68143129408668,0.000231928291684117
head,FBgn0025635,mean,-0.172616686738877,0.0910076234183948,-1.89672777131313,0.0579998130368034
head,FBgn0025635,dispersion,0.432671787774195,0.115442456304623,3.74794336177747,0.000178290500026425
head,FBgn0001341,mean,-0.149775005848567,0.0947400688179795,-1.58090454986183,0.114049177114791
head,FBgn0001341,dispersion,0.211942952031642,0.115442456304623,1.83591859369641,0.0663696972984648
head,FBgn0003575,mean,0.0601487871670019,0.0498154017952226,1.20743354463459,0.227400041452379
head,FBgn0003575,dispersion,0.337014769836072,0.115442456304623,2.91933124626851,0.00350783261554287
head,FBgn0025634,mean,-0.204710924857498,0.0691367558760244,-2.96095647334949,0.00310094275531455
head,FBgn0025634,dispersion,0.871052859718867,0.115442456304623,7.54534239483249,4.51100748167428e-14
head,FBgn0025638,mean,-0.333162475263387,0.0357241389999999,-9.32597634510907,2.67561757992545e-20
head,FBgn0025638,dispersion,0.149286453599734,0.115442456304623,1.29316768179123,0.195953070651667
head,FBgn0040383,mean,-0.448434618012871,0.0496637500105791,-9.02941517540153,3.77942993747644e-19
head,FBgn0040383,dispersion,0.88250327932974,0.115442456304623,7.64452964341857,2.0971049466064e-14
head,FBgn0040382,mean,0.258047866708405,0.0212076328978835,12.1676883012322,5.66413384575704e-33
head,FBgn0040382,dispersion,-0.0437500770292344,0.115442456304623,-0.37897735746188,0.704704678026593
head,FBgn0027343,mean,0.0693223837948339,0.0786344472977557,0.881577809434318,0.378105191118237
head,FBgn0027343,dispersion,0.395155657027302,0.115442456304623,3.42296646897905,0.000619417176643909
head,FBgn0025621,mean,-0.174319707169881,0.0652411484207443,-2.67192885762344,0.00759945080621998
head,FBgn0025621,dispersion,0.69168805308412,0.115442456304623,5.99162626320888,2.07752932223855e-09
head,FBgn0015799,mean,0.0334962653664288,0.0530250490325285,0.631706447756047,0.527646887304236
head,FBgn0015799,dispersion,0.369885563990243,0.115442456304623,3.20406872679676,0.00135500127132504
head,FBgn0015288,mean,-0.480392908958091,0.0363436205130264,-13.2180807023865,2.1868114141577e-38
head,FBgn0015288,dispersion,0.152139874925874,0.115442456304623,1.31788494281875,0.187542166914531
head,FBgn0025639,mean,0.248845446192546,0.0449322316006957,5.53823919550645,3.43477344127319e-08
head,FBgn0025639,dispersion,0.441230763474785,0.115442456304623,3.82208398537962,0.000132328602336622
head,FBgn0002579,mean,-0.608806224254999,0.022466258416928,-27.0986923125691,4.27118981855939e-139
head,FBgn0002579,dispersion,-0.0911460262221924,0.115442456304623,-0.789536442136,0.429798539190784
head,FBgn0026879,mean,-0.508973855327016,0.0300401719890832,-16.9431072336064,1.73997161218643e-60
head,FBgn0026879,dispersion,0.239608715099375,0.115442456304623,2.07556840671434,0.0379338859613644
head,FBgn0029529,mean,-0.192036594288905,0.0431006280495474,-4.45554051017875,8.80438389462353e-06
head,FBgn0029529,dispersion,0.490741083126524,0.115442456304623,4.2509584327588,2.1285767396803e-05
