tissue,Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SYMBOL
head,FBgn0031081,110.89685764586658,0.21172057247895115,0.05548279343861837,3.8159681471911013,1.356500039987739e-4,5.005118525922328e-4,Nep3
head,FBgn0031080,20.975818256502514,0.08608438115015334,0.10671287591474655,0.806691605040488,0.41984418193119716,0.5203079858137893,CG12655
head,FBgn0052350,38.59256018680934,-0.11520003396571404,0.09080545274532278,-1.2686466559316592,0.20456711606756342,0.29182343454068715,Vps11
head,FBgn0024733,8039.900143263219,-0.28229127126557085,0.03436060425445698,-8.215550261429245,2.1119356886112317e-16,6.70515023742338e-15,RpL10
head,FBgn0040372,52.66078196491633,-0.08881037151869008,0.07741331055447276,-1.1472235314907202,0.2512892485205755,0.34510328444104565,G9a
head,FBgn0024989,25.252556937504444,-0.36218235101544405,0.09903366438494454,-3.657163988274116,2.55021236308386e-4,8.699525032688871e-4,CG3777
head,FBgn0023536,29.101093661556245,-0.31976775839152494,0.09549427005436692,-3.3485544023685856,8.123433064451536e-4,0.0024503117144474675,CG3156
head,FBgn0023534,57.379432374580816,0.23252336851433375,0.07697230669754886,3.020870472649332,0.002520491566239535,0.00659443289810313,CG17778
head,FBgn0023537,400.8919514440042,-0.05240822112331944,0.03761807804196941,-1.3931658354488257,0.16356964839579133,0.24453053437355926,CG17896
head,FBgn0029525,33.24816722459849,0.2685104940181551,0.09349198184685723,2.8720162811179213,0.004078619536227921,0.010179399252026248,CG18273
head,FBgn0052816,112.31597054515808,-0.35982748551516813,0.09785068897455337,-3.677311721420207,2.357049322762837e-4,8.151335970684271e-4,CG32816
head,FBgn0000108,1857.956645776022,0.3775282624040211,0.028730500349680034,13.14033023473695,1.9338094957795707e-39,5.5000765075797296e-37,Appl
head,FBgn0025640,95.65261608038912,-0.20501670237117134,0.07274441558968206,-2.8183153402121848,0.004827637108528637,0.011815238448650732,CG13369
head,FBgn0025635,25.365014068685614,-0.3606190020667227,0.11161639874912326,-3.23087831275828,0.0012341046801259995,0.003558934747165219,Hinfp
head,FBgn0001341,26.087674433552138,-0.5754348451207798,0.12233723627469849,-4.703677005001869,2.55517370734305e-6,1.4390772051422162e-5,Mybbp1A
head,FBgn0003575,56.71443910377851,-0.1323182048334725,0.06965213512982257,-1.8997006277962403,0.057472417909069526,0.10100585083607327,su(sable)
head,FBgn0025634,34.22618555444907,-0.08187506300786807,0.09242199776699798,-0.8858828524165919,0.37568065726716265,0.4763879187266677,CG13367
head,FBgn0025638,210.63691870399637,-0.292590501511915,0.060138000044774334,-4.865318123217826,1.1427285314693894e-6,6.9707461624754705e-6,Roc1a
head,FBgn0040383,75.91087692251662,-0.12475047505351525,0.06680732372599497,-1.867317355282328,0.06185728319417049,0.10744197380069141,CG5254
head,FBgn0040382,1106.6611682330529,0.17280366578115822,0.032116188016834225,5.380578345430671,7.424691719891924e-8,5.845553134946052e-7,CG5273
head,FBgn0027343,36.66792713470445,-0.14601258557494076,0.09355860212695864,-1.560653774805253,0.1186054634333027,0.1866299892567368,fz3
head,FBgn0025621,44.97069646999667,0.04629356234028291,0.08098547942498087,0.5716279346492718,0.5675740662622101,0.6592241919867017,CG16989
head,FBgn0015799,55.31833957052924,-0.31590186641644186,0.07796117525051291,-4.052040844707039,5.077279838582967e-5,2.0991830513729457e-4,Rbf
head,FBgn0015288,116.2448105783829,-0.3150922097214139,0.056230891965176506,-5.603542798441626,2.100142289495019e-8,1.8378937523196155e-7,RpL22
head,FBgn0025639,78.50124894530853,0.11316114174006991,0.061104183638855086,1.8519377070625442,0.06403476851381268,0.11065856452538869,Hmt4-20
head,FBgn0002579,8092.084940581684,-0.3849007439553349,0.03229099752897962,-11.919753906948987,9.338396750337038e-33,1.677470953100016e-30,RpL36
head,FBgn0026879,309.90038906882035,-0.47327328964632137,0.05473984541451732,-8.645864562869347,5.3399422196447396e-18,2.1316050053388884e-16,CG13364
head,FBgn0029529,78.87751664761527,-0.15045574250635455,0.0683329927993834,-2.201802326265332,0.027679274697306425,0.053890110976558374,CG13365
head,FBgn0025633,105.78757094811262,-0.10523768556549222,0.060611493737019885,-1.7362661613669463,0.08251678355042295,0.13731339944300025,spdi
head,FBgn0040339,15.44131769785227,0.23298111965911286,0.12944186119095738,1.799890062731797,0.07187799907295926,0.1221042459759826,MED22
head,FBgn0040397,72.27630344822477,-0.20705598575491227,0.0902196552600907,-2.2950208040365343,0.02173193207405274,0.043862261483584866,CG3655
head,FBgn0040349,79.39803440321666,-1.3285451519786582,0.13247392630500957,-10.028729343461896,1.1397384239904812e-23,8.189320507535815e-22,CG3699
head,FBgn0040364,83.43011017587769,0.27106286092175597,0.07279272223433003,3.7237632087609858,1.9627502797680166e-4,6.95624787627024e-4,CG11378
head,FBgn0024362,109.47740528693319,-0.2324591328854007,0.0633585924238119,-3.668944084654826,2.435543360172849e-4,8.371107238942531e-4,Naa30A
head,FBgn0024364,38.38527675616724,-0.46399807892933226,0.095339434949381,-4.866801226330792,1.1341899960606154e-6,6.9310482659890425e-6,CG11417
head,FBgn0024987,180.54647477575537,0.02253057002806019,0.041920063546652696,0.5374650733290515,0.5909464043052284,0.6779962261510812,ssx
head,FBgn0023169,210.81476380686473,0.043175562590964424,0.03951470091211525,1.0926455621413231,0.27454944989977054,0.37228338200552913,AMPKalpha
head,FBgn0052813,77.21426419111857,-0.12579897242953905,0.07011957747973405,-1.7940634691630517,0.07280303896853174,0.12333274558534774,CG32813
head,FBgn0024985,189.58636854180452,-0.010186602584014317,0.04854948390379545,-0.20981896747244227,0.8338089686670433,0.8752983693267641,Rilpl
head,FBgn0027794,51.42472854285505,-0.22459183309248484,0.06909562613154285,-3.2504493506566026,0.001152227907557443,0.003349705152038802,Lrpprc2
head,FBgn0024986,133.76330137818942,0.04215805136377849,0.0553734293924925,0.7613408059840024,0.44645353350505684,0.5454612170584424,CG3719
head,FBgn0024365,71.6320371342099,-0.22289816964575856,0.06823337261679722,-3.2667030969957804,0.0010880772898007548,0.0031903846993900135,CG12773
head,FBgn0024360,19.802433807762398,-0.14962113719493386,0.11439460508520945,-1.3079387536106717,0.19089408368865618,0.2761854631748129,MTPAP
head,FBgn0025641,147.52670046113522,-0.026563886273221364,0.04951291344372594,-0.5365042051789708,0.5916101304072297,0.6785970005309611,DAAM
head,FBgn0028550,346.08211404526986,-0.17103604997621444,0.0374377061714112,-4.5685504660225105,4.9110882881577185e-6,2.5906560011564596e-5,Atf3
head,FBgn0040366,20.34634404305246,0.017695519893836286,0.12247004001498143,0.14448856137935157,0.885114688369257,0.9138999943743077,CG11398
head,FBgn0029580,25.20041098474063,-0.10234870549957889,0.11810685568222774,-0.8665771763067935,0.3861737234299797,0.48679996973832707,CG14778
head,FBgn0025394,104.12943450061928,-0.21491231376307732,0.06051844438029471,-3.5511870135421804,3.834978150433085e-4,0.0012471443951813357,inc
