	Nested_Level	Block	Path	Direction	N_genes	Internal_degree	Average_internal_degree	Total_degree	Average_total_degree	Assortativity
0	1	0	0-0-0-0-0	decohere	132	4.0	0.030303030303030304	419.0	3.1742424242424243	0.0010816554618154404
1	1	1	1-1-1-1-1	decohere	126	4.0	0.031746031746031744	1044.0	8.285714285714286	0.0006567754297090445
2	1	2	2-1-1-1-1	decohere	46	12.0	0.2608695652173913	811.0	17.630434782608695	0.003184077330466518
3	1	3	3-2-2-1-1	decohere	14	28.0	2.0	6767.0	483.35714285714283	-0.013135542514883383
4	1	4	4-3-3-2-0	decohere	212	18.0	0.08490566037735849	4140.0	19.528301886792452	-0.0027296611951630628
5	1	5	5-4-4-3-1	decohere	24	28.0	1.1666666666666667	4846.0	201.91666666666666	-0.002769481311889121
6	1	6	6-5-5-3-1	decohere	34	0.0	0.0	51.0	1.5	-1.2085992765645778e-06
7	1	7	7-6-6-4-0	decohere	93	0.0	0.0	843.0	9.064516129032258	-0.0003302152507848292
8	1	8	8-7-7-3-1	decohere	110	4.0	0.03636363636363636	852.0	7.745454545454545	0.0008259291443750792
9	1	9	9-8-8-3-1	decohere	71	6.0	0.08450704225352113	6814.0	95.97183098591549	-0.019829923723721575
10	1	10	10-9-9-2-0	decohere	77	352.0	4.571428571428571	13055.0	169.54545454545453	0.023169865288150644
11	1	11	11-10-0-0-0	decohere	68	4.0	0.058823529411764705	2734.0	40.205882352941174	-0.0023100407306120047
12	1	12	12-11-4-3-1	decohere	46	2.0	0.043478260869565216	1446.0	31.434782608695652	-0.0003899635478930581
13	1	13	13-2-2-1-1	decohere	20	90.0	4.5	11618.0	580.9	-0.03654706818095079
14	1	14	14-12-7-3-1	decohere	108	10.0	0.09259259259259259	3307.0	30.62037037037037	-0.00217363350453395
15	1	15	15-13-9-2-0	decohere	245	12.0	0.04897959183673469	2580.0	10.53061224489796	0.0003966882109958809
16	1	16	16-14-9-2-0	decohere	44	128.0	2.909090909090909	8051.0	182.97727272727272	0.007104377487223847
17	1	17	17-4-4-3-1	decohere	202	0.0	0.0	1931.0	9.55940594059406	-0.0017326327747336457
18	1	18	18-15-10-0-0	decohere	279	8.0	0.02867383512544803	1704.0	6.10752688172043	0.0009772507922062648
19	1	19	19-16-0-0-0	decohere	95	2.0	0.021052631578947368	527.0	5.5473684210526315	0.0004525649013481174
20	1	20	20-17-10-0-0	decohere	66	4.0	0.06060606060606061	1632.0	24.727272727272727	-7.437276655510181e-05
21	1	21	21-18-11-1-1	decohere	101	70.0	0.693069306930693	970.0	9.603960396039604	0.019919370292864818
22	1	22	22-6-6-4-0	decohere	36	12.0	0.3333333333333333	1601.0	44.47222222222222	0.002298663355261492
23	1	23	23-19-5-3-1	decohere	102	4.0	0.0392156862745098	875.0	8.57843137254902	0.0008074721002134408
24	1	24	24-14-9-2-0	decohere	72	82.0	1.1388888888888888	9627.0	133.70833333333334	-0.01921867312943078
25	1	25	25-20-8-3-1	decohere	44	192.0	4.363636363636363	13854.0	314.8636363636364	-0.03334992952135511
26	1	26	26-21-7-3-1	decohere	34	4.0	0.11764705882352941	1828.0	53.76470588235294	-0.0003894914460610742
27	1	27	27-12-7-3-1	decohere	166	0.0	0.0	743.0	4.475903614457831	-0.0002565190396109953
28	1	28	28-22-8-3-1	decohere	303	12.0	0.039603960396039604	2636.0	8.6996699669967	0.00026096079296919646
29	1	29	29-23-10-0-0	decohere	26	2.0	0.07692307692307693	447.0	17.192307692307693	0.0004887717662577337
30	1	30	30-24-11-1-1	decohere	42	0.0	0.0	240.0	5.714285714285714	-2.6764828269942212e-05
31	1	31	31-18-11-1-1	decohere	53	84.0	1.5849056603773586	1421.0	26.81132075471698	0.023489615769882222
32	1	32	32-10-0-0-0	decohere	253	8.0	0.03162055335968379	992.0	3.9209486166007905	0.001869203563651128
33	1	33	33-25-11-1-1	decohere	226	0.0	0.0	360.0	1.592920353982301	-6.022086360736998e-05
34	1	34	34-26-10-0-0	decohere	138	0.0	0.0	141.0	1.0217391304347827	-9.23804775754724e-06
35	1	35	35-27-4-3-1	decohere	218	8.0	0.03669724770642202	1987.0	9.114678899082568	0.0004918813188754848
36	1	36	36-28-12-4-0	decohere	250	10.0	0.04	741.0	2.964	0.002652942324129923
37	1	37	37-29-2-1-1	decohere	82	6.0	0.07317073170731707	3194.0	38.951219512195124	-0.002995515862634672
38	1	38	38-30-13-0-0	decohere	124	18.0	0.14516129032258066	2655.0	21.411290322580644	0.001959097607267009
39	1	39	39-30-13-0-0	decohere	240	0.0	0.0	566.0	2.3583333333333334	-0.0001488589118966251
40	1	40	40-24-11-1-1	decohere	227	0.0	0.0	446.0	1.9647577092511013	-9.242973229416363e-05
41	1	41	41-31-12-4-0	decohere	253	2.0	0.007905138339920948	308.0	1.2173913043478262	0.000537536261097822
42	1	42	42-0-0-0-0	decohere	71	4.0	0.056338028169014086	186.0	2.619718309859155	0.001147157267667392
43	1	43	43-23-10-0-0	decohere	111	2.0	0.018018018018018018	1163.0	10.477477477477477	-4.6877946180783306e-05
44	1	44	44-27-4-3-1	decohere	82	12.0	0.14634146341463414	931.0	11.353658536585366	0.003086943307870186
45	1	45	45-9-9-2-0	decohere	167	38.0	0.2275449101796407	7823.0	46.84431137724551	-0.017386605765004195
46	1	46	46-1-1-1-1	decohere	56	44.0	0.7857142857142857	2846.0	50.82142857142857	0.009031889809129381
47	1	47	47-11-4-3-1	decohere	85	18.0	0.21176470588235294	4498.0	52.917647058823526	-0.004166599771574215
