	direction	Gene	Degree	Average	Sum	B1	B2	B3	B4	B5	B6
211	decohere	FBgn0267428	137	0.1524131665425533	20.880603816329803	95	4	4	3	1	1
1540	decohere	FBgn0022382	137	0.14772357690164953	20.238130035525984	128	14	9	2	0	0
5920	decohere	FBgn0033000	137	0.1296931038466598	17.76795522699239	71	23	10	0	0	0
2483	decohere	FBgn0086691	137	0.11895057597918735	16.296228909148667	126	7	7	3	1	1
2716	decohere	FBgn0085432	137	0.1116540006970257	15.296598095492522	47	11	4	3	1	1
4481	decohere	FBgn0027524	136	0.17322721251111273	23.55890090151133	157	7	7	3	1	1
6113	decohere	FBgn0039602	136	0.17322497283105193	23.558596305023062	45	9	9	2	0	0
2627	decohere	FBgn0033015	136	0.16953376671626663	23.056592273412264	151	13	9	2	0	0
3249	decohere	FBgn0038745	136	0.1649880907262972	22.43838033877642	128	14	9	2	0	0
1977	decohere	FBgn0003980	136	0.15065846721597373	20.48955154137243	153	39	5	3	1	1
1280	decohere	FBgn0034879	136	0.13377959605257755	18.194025063150548	98	12	7	3	1	1
774	decohere	FBgn0005771	136	0.12983298912728028	17.65728652131012	47	11	4	3	1	1
883	decohere	FBgn0031987	136	0.11325871538378435	15.40318529219467	20	17	10	0	0	0
6111	decohere	FBgn0004237	135	0.1990638575884488	26.87362077444059	62	3	3	2	0	0
3231	decohere	FBgn0011818	135	0.18574657216434245	25.07578724218623	62	3	3	2	0	0
3453	decohere	FBgn0026620	135	0.12649921413108267	17.07739390769616	82	14	9	2	0	0
6542	decohere	FBgn0033315	135	0.11406366932088385	15.39859535831932	106	30	13	0	0	0
5386	decohere	FBgn0033631	134	0.1378781934998798	18.47567792898389	132	7	7	3	1	1
6570	decohere	FBgn0259938	134	0.13671425441917076	18.319710092168883	47	11	4	3	1	1
2374	decohere	FBgn0030160	134	0.1321617380711242	17.70967290153064	83	33	1	1	1	1
2837	decohere	FBgn0082582	134	0.11962841378378938	16.030207447027777	47	11	4	3	1	1
6241	decohere	FBgn0030645	134	0.11821105988636305	15.840282024772648	134	8	8	3	1	1
5113	decohere	FBgn0033206	134	0.113463369257309	15.204091480479406	114	22	8	3	1	1
3151	decohere	FBgn0015602	134	0.11176946975799347	14.977108947571125	118	31	12	4	0	0
6006	decohere	FBgn0030973	133	0.1786178641481744	23.756175931707197	151	13	9	2	0	0
2436	decohere	FBgn0261859	133	0.17158841158437788	22.821258740722257	47	11	4	3	1	1
4525	decohere	FBgn0023172	133	0.16827729757597984	22.380880577605318	104	3	3	2	0	0
1318	decohere	FBgn0261108	133	0.15700097063800322	20.88112909485443	45	9	9	2	0	0
5080	decohere	FBgn0038692	133	0.14478338931709087	19.256190779173085	11	10	0	0	0	0
919	decohere	FBgn0051233	132	0.17361783722871668	22.917554514190602	78	33	1	1	1	1
1867	decohere	FBgn0264959	132	0.17252250296175392	22.772970390951517	151	13	9	2	0	0
4223	decohere	FBgn0265623	132	0.1667238681464258	22.00755059532821	82	14	9	2	0	0
896	decohere	FBgn0029507	132	0.16382604428174158	21.625037845189887	78	33	1	1	1	1
4077	decohere	FBgn0036916	132	0.1516526995864157	20.018156345406872	14	12	7	3	1	1
3884	decohere	FBgn0038110	132	0.14155193798164029	18.68485581357652	14	12	7	3	1	1
2427	decohere	FBgn0013347	132	0.14090822365967967	18.599885523077717	157	7	7	3	1	1
5543	decohere	FBgn0045823	132	0.13010482546209118	17.173836960996034	127	27	4	3	1	1
6531	decohere	FBgn0030685	131	0.17214797740431992	22.551385039965908	104	3	3	2	0	0
6175	decohere	FBgn0020018	131	0.14632201695113486	19.16818422059867	114	22	8	3	1	1
4059	decohere	FBgn0000826	131	0.14400042136773028	18.864055199172668	89	16	0	0	0	0
1571	decohere	FBgn0034160	131	0.12991790683490081	17.019245795372008	154	19	5	3	1	1
384	decohere	FBgn0085452	131	0.11277104243693126	14.773006559237995	51	33	1	1	1	1
5229	decohere	FBgn0039654	131	0.1104453412924186	14.468339709306838	114	22	8	3	1	1
1721	decohere	FBgn0031904	131	0.10168099986458846	13.32021098226109	128	14	9	2	0	0
3945	decohere	FBgn0001089	131	0.08961959701959868	11.740167209567426	48	21	7	3	1	1
3222	decohere	FBgn0038723	130	0.17631136868921882	22.920477929598448	157	7	7	3	1	1
2774	decohere	FBgn0038450	130	0.17032432053009594	22.142161668912472	83	33	1	1	1	1
5647	decohere	FBgn0039904	130	0.14760186692155425	19.188242699802053	104	3	3	2	0	0
1158	decohere	FBgn0035359	130	0.1435014970478256	18.65519461621733	51	33	1	1	1	1
603	decohere	FBgn0034959	130	0.136053319167259	17.686931491743668	37	29	2	1	1	1
5482	decohere	FBgn0260635	130	0.12378002302655353	16.091402993451958	51	33	1	1	1	1
4950	decohere	FBgn0033915	130	0.12079765526174231	15.7036951840265	121	3	3	2	0	0
2535	decohere	FBgn0031069	130	0.12000721823762486	15.600938370891232	9	8	8	3	1	1
4877	decohere	FBgn0261555	130	0.11730787176279919	15.250023329163895	90	37	4	3	1	1
6093	decohere	FBgn0005278	130	0.10847420179372348	14.101646233184052	5	4	4	3	1	1
2874	decohere	FBgn0022069	129	0.20095531661926	25.92323584388454	151	13	9	2	0	0
2674	decohere	FBgn0016070	129	0.19070625410985534	24.60110678017134	181	0	0	0	0	0
816	decohere	FBgn0010808	129	0.1750125420764297	22.57661792785943	155	29	2	1	1	1
2967	decohere	FBgn0003567	129	0.17298287373166485	22.314790711384767	45	9	9	2	0	0
6322	decohere	FBgn0010238	129	0.1722580085678419	22.221283105251604	82	14	9	2	0	0
5446	decohere	FBgn0003093	129	0.1694284580579994	21.856271089481922	82	14	9	2	0	0
385	decohere	FBgn0011206	129	0.1633044347934686	21.066272088357447	127	27	4	3	1	1
5797	decohere	FBgn0002638	129	0.13631550946310586	17.584700720740656	118	31	12	4	0	0
5841	decohere	FBgn0034282	129	0.13249269778432535	17.09155801417797	58	13	9	2	0	0
4946	decohere	FBgn0039929	129	0.12573145152794296	16.219357247104643	151	13	9	2	0	0
4073	decohere	FBgn0261710	129	0.12386385784979487	15.978437662623538	10	9	9	2	0	0
4380	decohere	FBgn0034920	129	0.11721973807998341	15.12134621231786	154	19	5	3	1	1
4540	decohere	FBgn0033309	128	0.1782058562608178	22.81034960138468	106	30	13	0	0	0
2708	decohere	FBgn0262160	128	0.1707815703433495	21.860041003948737	127	27	4	3	1	1
4152	decohere	FBgn0030301	128	0.16245061877468525	20.793679203159712	62	3	3	2	0	0
61	decohere	FBgn0261873	128	0.14565541006330962	18.64389248810363	47	11	4	3	1	1
1569	decohere	FBgn0037705	128	0.14453569565221458	18.500569043483466	82	14	9	2	0	0
3145	decohere	FBgn0266572	128	0.13737000458260173	17.583360586573022	61	3	3	2	0	0
6471	decohere	FBgn0002571	128	0.13129121629866192	16.805275686228725	138	19	5	3	1	1
3150	decohere	FBgn0043001	128	0.12998888566818936	16.63857736552824	171	10	0	0	0	0
2865	decohere	FBgn0283658	128	0.12428037985264376	15.907888621138401	90	37	4	3	1	1
4500	decohere	FBgn0022361	128	0.1194531849869942	15.290007678335257	47	11	4	3	1	1
3208	decohere	FBgn0010292	127	0.19654858250625845	24.96166997829482	91	20	8	3	1	1
716	decohere	FBgn0001169	127	0.17585456169235095	22.33352933492857	86	6	6	4	0	0
5200	decohere	FBgn0086442	127	0.15241082799573052	19.356175155457777	121	3	3	2	0	0
3642	decohere	FBgn0039668	127	0.15008526035832062	19.06082806550672	82	14	9	2	0	0
3971	decohere	FBgn0040609	127	0.14042111240650376	17.833481275625978	51	33	1	1	1	1
1208	decohere	FBgn0038428	127	0.11894843601433612	15.106451373820688	106	30	13	0	0	0
3157	decohere	FBgn0000406	127	0.09116741326472667	11.578261484620288	83	33	1	1	1	1
3139	decohere	FBgn0043471	126	0.1970473837458179	24.827970351973054	78	33	1	1	1	1
4592	decohere	FBgn0264495	126	0.16406819787002605	20.67259293162328	137	6	6	4	0	0
5486	decohere	FBgn0023519	126	0.1450796237702597	18.280032595052724	96	22	8	3	1	1
2782	decohere	FBgn0027073	126	0.13332571838122617	16.7990405160345	119	25	11	1	1	1
1921	decohere	FBgn0003676	126	0.13122125280069816	16.53387785288797	77	26	10	0	0	0
5956	decohere	FBgn0030968	125	0.13605507473560807	17.006884341951007	51	33	1	1	1	1
5246	decohere	FBgn0033886	125	0.12800771568607164	16.000964460758954	134	8	8	3	1	1
2034	decohere	FBgn0013672	125	0.12245297414335178	15.306621767918973	101	26	10	0	0	0
3342	decohere	FBgn0033782	125	0.11994389635440107	14.992987044300135	46	1	1	1	1	1
391	decohere	FBgn0015949	125	0.11319179469102746	14.148974336378432	82	14	9	2	0	0
954	decohere	FBgn0037843	124	0.19270072956669898	23.894890466270674	62	3	3	2	0	0
4964	decohere	FBgn0000183	124	0.17427022290201757	21.60950763985018	104	3	3	2	0	0
1835	decohere	FBgn0039928	124	0.16433023769226093	20.376949473840355	47	11	4	3	1	1
5591	decohere	FBgn0032293	124	0.15783847406218487	19.571970783710924	57	20	8	3	1	1
2092	decohere	FBgn0003275	124	0.14554306683367382	18.047340287375555	132	7	7	3	1	1
4078	decohere	FBgn0052758	124	0.14341920647059062	17.783981602353236	45	9	9	2	0	0
5114	decohere	FBgn0039768	124	0.11569609840784024	14.34631620257219	154	19	5	3	1	1
6270	decohere	FBgn0011742	123	0.17959370728277205	22.090025995780962	151	13	9	2	0	0
4069	decohere	FBgn0039863	123	0.17837911536000536	21.94063118928066	121	3	3	2	0	0
3949	decohere	FBgn0053129	123	0.15604909774157535	19.19403902221377	151	13	9	2	0	0
169	decohere	FBgn0053126	123	0.1359512123963933	16.721999124756376	83	33	1	1	1	1
3684	decohere	FBgn0005427	123	0.11858034285251103	14.585382170858857	82	14	9	2	0	0
3259	decohere	FBgn0034140	123	0.09895899905727373	12.171956884044668	150	37	4	3	1	1
479	decohere	FBgn0029733	122	0.20655251966139332	25.199407398689985	86	6	6	4	0	0
3007	decohere	FBgn0026376	122	0.18341308521467387	22.376396396190213	121	3	3	2	0	0
1985	decohere	FBgn0022710	122	0.17430225216270503	21.264874763850013	82	14	9	2	0	0
6153	decohere	FBgn0035997	122	0.1501244226081013	18.31517955818836	86	6	6	4	0	0
3190	decohere	FBgn0028691	122	0.14505511369763469	17.69672387111143	91	20	8	3	1	1
3203	decohere	FBgn0036518	122	0.13834081543858423	16.877579483507276	61	3	3	2	0	0
413	decohere	FBgn0083953	122	0.12985008451213514	15.841710310480487	132	7	7	3	1	1
3844	decohere	FBgn0029937	122	0.10830380251490043	13.213063906817853	114	22	8	3	1	1
3574	decohere	FBgn0034535	122	0.10527385874159224	12.843410766474253	114	22	8	3	1	1
336	decohere	FBgn0243516	122	0.10359779563904724	12.638931067963764	121	3	3	2	0	0
3549	decohere	FBgn0263120	121	0.1586144226173015	19.19234513669348	150	37	4	3	1	1
727	decohere	FBgn0083983	121	0.13008043605265876	15.739732762371709	157	7	7	3	1	1
5049	decohere	FBgn0010747	121	0.11391825772814601	13.784109185105667	128	14	9	2	0	0
3833	decohere	FBgn0015790	120	0.18570554788036825	22.28466574564419	95	4	4	3	1	1
2852	decohere	FBgn0015031	120	0.1688151027474142	20.257812329689706	108	41	11	1	1	1
1446	decohere	FBgn0050371	120	0.1274806989409049	15.297683872908589	120	1	1	1	1	1
6366	decohere	FBgn0259209	119	0.16954655519243603	20.176040067899887	108	41	11	1	1	1
674	decohere	FBgn0014007	119	0.16490790460834148	19.624040648392636	62	3	3	2	0	0
1267	decohere	FBgn0039300	119	0.15895999273356767	18.916239135294553	93	40	7	3	1	1
4900	decohere	FBgn0085450	119	0.1310042872047996	15.589510177371151	47	11	4	3	1	1
5315	decohere	FBgn0261976	119	0.12880230349107885	15.327474115438383	96	22	8	3	1	1
2866	decohere	FBgn0013681	119	0.11313804102790662	13.463426882320887	156	37	4	3	1	1
5704	decohere	FBgn0030502	119	0.10957994712118735	13.040013707421295	45	9	9	2	0	0
86	decohere	FBgn0000078	119	0.09175099965926321	10.918368959452323	26	21	7	3	1	1
2603	decohere	FBgn0032042	118	0.17920310035759254	21.14596584219592	45	9	9	2	0	0
1887	decohere	FBgn0034537	118	0.12064637786376868	14.236272587924704	38	30	13	0	0	0
1527	decohere	FBgn0000084	118	0.1176096385149027	13.87793734475852	9	8	8	3	1	1
1784	decohere	FBgn0035204	118	0.10558177565578318	12.458649527382414	96	22	8	3	1	1
4714	decohere	FBgn0036058	117	0.1909483659090941	22.340958811364008	128	14	9	2	0	0
814	decohere	FBgn0010583	117	0.18415496409211887	21.54613079877791	121	3	3	2	0	0
5046	decohere	FBgn0003380	117	0.17660057840923551	20.662267673880557	12	11	4	3	1	1
230	decohere	FBgn0263133	117	0.1503411188984573	17.589910911119503	82	14	9	2	0	0
758	decohere	FBgn0038224	117	0.14522789897255817	16.991664179789307	93	40	7	3	1	1
2453	decohere	FBgn0040239	117	0.14384929533838353	16.83036755459087	128	14	9	2	0	0
1117	decohere	FBgn0032002	117	0.1436107911100299	16.802462559873497	131	18	11	1	1	1
1702	decohere	FBgn0261881	117	0.13497280125257763	15.791817746551581	96	22	8	3	1	1
5298	decohere	FBgn0021856	117	0.11925090630976841	13.952356038242904	98	12	7	3	1	1
4932	decohere	FBgn0261437	117	0.11791059129670485	13.795539181714467	91	20	8	3	1	1
4161	decohere	FBgn0023216	116	0.16624543215025883	19.284470129430023	121	3	3	2	0	0
436	decohere	FBgn0086712	116	0.15187362429914084	17.617340418700337	37	29	2	1	1	1
718	decohere	FBgn0034629	116	0.15050067790424687	17.458078636892637	134	8	8	3	1	1
1057	decohere	FBgn0010316	116	0.12407777616812196	14.393022035502147	22	6	6	4	0	0
3209	decohere	FBgn0040066	116	0.12010786821279798	13.932512712684566	151	13	9	2	0	0
2024	decohere	FBgn0034290	115	0.1705292833122238	19.610867580905737	83	33	1	1	1	1
4207	decohere	FBgn0000140	115	0.16658817646761556	19.15764029377579	86	6	6	4	0	0
3730	decohere	FBgn0004132	115	0.13842901290985885	15.919336484633767	157	7	7	3	1	1
2879	decohere	FBgn0260659	115	0.11624963112426628	13.368707579290623	38	30	13	0	0	0
456	decohere	FBgn0052581	115	0.115168178424457	13.244340518812555	12	11	4	3	1	1
3724	decohere	FBgn0027609	115	0.1139392058527661	13.103008673068102	114	22	8	3	1	1
4909	decohere	FBgn0036697	115	0.09788090860163967	11.256304489188562	45	9	9	2	0	0
2554	decohere	FBgn0032516	115	0.09780122812030488	11.24714123383506	106	30	13	0	0	0
4704	decohere	FBgn0028341	114	0.1870514032252731	21.323859967681134	104	3	3	2	0	0
4513	decohere	FBgn0283682	114	0.16993886785770837	19.373030935778754	104	3	3	2	0	0
1127	decohere	FBgn0032938	114	0.16313100039568237	18.59693404510779	61	3	3	2	0	0
6495	decohere	FBgn0000119	114	0.16175703782201292	18.440302311709473	4	3	3	2	0	0
4607	decohere	FBgn0030053	114	0.1145579710456235	13.059608699201078	45	9	9	2	0	0
4423	decohere	FBgn0037442	114	0.113210152785515	12.90595741754871	82	14	9	2	0	0
2714	decohere	FBgn0004687	114	0.1114329536982183	12.703356721596887	90	37	4	3	1	1
6456	decohere	FBgn0032248	114	0.10721604012904233	12.222628574710825	114	22	8	3	1	1
4414	decohere	FBgn0032700	114	0.09484905353211366	10.812792102660957	82	14	9	2	0	0
4000	decohere	FBgn0035121	113	0.19192831053222661	21.687899090141606	164	23	10	0	0	0
5028	decohere	FBgn0029929	113	0.1687801444682864	19.072156324916364	96	22	8	3	1	1
559	decohere	FBgn0011016	113	0.167836057139773	18.96547445679435	122	39	5	3	1	1
197	decohere	FBgn0260944	113	0.1660919001926554	18.76838472177006	91	20	8	3	1	1
2010	decohere	FBgn0015575	113	0.15596837297489213	17.62442614616281	51	33	1	1	1	1
2947	decohere	FBgn0035501	113	0.15394179041808745	17.39542231724388	37	29	2	1	1	1
4616	decohere	FBgn0040321	113	0.13878208142655857	15.682375201201118	37	29	2	1	1	1
1984	decohere	FBgn0053506	113	0.12391449731119386	14.002338196164906	114	22	8	3	1	1
2084	decohere	FBgn0036754	112	0.17081952402337408	19.131786690617897	82	14	9	2	0	0
4875	decohere	FBgn0259745	112	0.16574974328863853	18.563971248327515	143	6	6	4	0	0
2497	decohere	FBgn0005671	112	0.16221475360750892	18.168052404041	90	37	4	3	1	1
3073	decohere	FBgn0259174	112	0.1454238353321315	16.287469557198726	61	3	3	2	0	0
2818	decohere	FBgn0030766	112	0.13487835939729806	15.106376252497382	61	3	3	2	0	0
6567	decohere	FBgn0003891	112	0.13480314460826345	15.097952196125506	24	14	9	2	0	0
3296	decohere	FBgn0261574	112	0.1276904006619743	14.301324874141121	45	9	9	2	0	0
6427	decohere	FBgn0051148	112	0.12609653601534948	14.122812033719143	131	18	11	1	1	1
4992	decohere	FBgn0031710	112	0.11557905180106265	12.944853801719017	114	22	8	3	1	1
956	decohere	FBgn0038395	112	0.10651139203434737	11.929275907846906	123	39	5	3	1	1
3664	decohere	FBgn0028360	111	0.17900479926126964	19.86953271800093	62	3	3	2	0	0
2908	decohere	FBgn0263995	111	0.1715018166604055	19.036701649305012	127	27	4	3	1	1
6482	decohere	FBgn0027951	111	0.16366599477800908	18.166925420359007	104	3	3	2	0	0
4261	decohere	FBgn0038704	111	0.15954073743087357	17.709021854826968	82	14	9	2	0	0
5751	decohere	FBgn0038868	111	0.1439284363738908	15.976056437501878	37	29	2	1	1	1
4922	decohere	FBgn0030878	111	0.13863772424746965	15.38878739146913	96	22	8	3	1	1
2752	decohere	FBgn0034145	111	0.13206665804069762	14.659399042517435	150	37	4	3	1	1
5594	decohere	FBgn0036738	111	0.11339454086489523	12.58679403600337	116	33	1	1	1	1
1711	decohere	FBgn0015288	111	0.1092621710219366	12.128100983434962	124	17	10	0	0	0
5311	decohere	FBgn0085227	111	0.10502419300628917	11.657685423698098	131	18	11	1	1	1
1615	decohere	FBgn0037207	110	0.19154119137597023	21.069531051356726	61	3	3	2	0	0
1031	decohere	FBgn0004795	110	0.15911753302316473	17.50292863254812	143	6	6	4	0	0
1812	decohere	FBgn0264855	110	0.14658383962595786	16.124222358855366	22	6	6	4	0	0
416	decohere	FBgn0035111	110	0.1414903328233693	15.563936610570625	121	3	3	2	0	0
4816	decohere	FBgn0035886	110	0.13100060411762984	14.410066452939281	154	19	5	3	1	1
1863	decohere	FBgn0260632	110	0.13004636881149864	14.30510056926485	104	3	3	2	0	0
5202	decohere	FBgn0014391	110	0.12982417343980532	14.280659078378585	84	38	5	3	1	1
2306	decohere	FBgn0032290	110	0.120489600129969	13.25385601429659	114	22	8	3	1	1
5973	decohere	FBgn0024558	110	0.11956413579334185	13.152054937267604	98	12	7	3	1	1
1026	decohere	FBgn0027619	110	0.11478086371745859	12.625895008920445	95	4	4	3	1	1
2813	decohere	FBgn0000032	110	0.11112761954742732	12.224038150217005	43	23	10	0	0	0
4246	decohere	FBgn0039265	109	0.18032707604732084	19.655651289157973	157	7	7	3	1	1
3815	decohere	FBgn0264607	109	0.17940919600395433	19.55560236443102	128	14	9	2	0	0
334	decohere	FBgn0026749	109	0.1698398550310366	18.51254419838299	96	22	8	3	1	1
4507	decohere	FBgn0024187	109	0.16010693065026696	17.451655440879097	82	14	9	2	0	0
575	decohere	FBgn0266717	109	0.15731998920864101	17.14787882374187	45	9	9	2	0	0
5905	decohere	FBgn0031016	109	0.14428011575227498	15.726532616997973	45	9	9	2	0	0
6401	decohere	FBgn0034925	109	0.12842262701287024	13.998066344402858	20	17	10	0	0	0
1046	decohere	FBgn0033294	109	0.1090605134162788	11.88759596237439	154	19	5	3	1	1
3540	decohere	FBgn0085201	109	0.07956925173311083	8.673048438909081	122	39	5	3	1	1
5558	decohere	FBgn0031051	108	0.18681398586165093	20.175910473058302	104	3	3	2	0	0
6285	decohere	FBgn0030928	108	0.1590318961072404	17.175444779581962	31	18	11	1	1	1
3320	decohere	FBgn0086855	108	0.15751334294903283	17.011441038495544	89	16	0	0	0	0
2316	decohere	FBgn0034962	108	0.1517666341540422	16.390796488636557	19	16	0	0	0	0
5675	decohere	FBgn0015808	108	0.15122456056675268	16.33225254120929	51	33	1	1	1	1
1691	decohere	FBgn0030660	108	0.12920102473391126	13.953710671262415	72	6	6	4	0	0
1214	decohere	FBgn0036032	108	0.11794414516428516	12.737967677742796	104	3	3	2	0	0
3189	decohere	FBgn0037359	108	0.1115399386332478	12.046313372390763	28	22	8	3	1	1
4276	decohere	FBgn0033926	108	0.08763572877156683	9.464658707329217	119	25	11	1	1	1
1356	decohere	FBgn0034662	107	0.23047399771999133	24.660717756039073	129	19	5	3	1	1
4270	decohere	FBgn0025681	107	0.17016407084969198	18.20755558091704	45	9	9	2	0	0
4510	decohere	FBgn0266666	107	0.14885483176920625	15.927466999305068	91	20	8	3	1	1
2193	decohere	FBgn0029718	107	0.14714409929149105	15.744418624189542	14	12	7	3	1	1
5148	decohere	FBgn0026199	107	0.14214878318157576	15.209919800428604	45	9	9	2	0	0
5878	decohere	FBgn0002578	107	0.14111535137774284	15.099342597418483	116	33	1	1	1	1
3993	decohere	FBgn0003044	107	0.1382757124815682	14.795501235527798	22	6	6	4	0	0
3376	decohere	FBgn0019925	107	0.12683775484507945	13.571639768423502	128	14	9	2	0	0
2873	decohere	FBgn0003159	107	0.11668811087267163	12.485627863375864	151	13	9	2	0	0
5431	decohere	FBgn0030991	107	0.11321429334003619	12.113929387383871	58	13	9	2	0	0
3246	decohere	FBgn0039114	107	0.10180127553392722	10.892736482130212	48	21	7	3	1	1
5624	decohere	FBgn0039581	107	0.09452870156307282	10.114571067248791	38	30	13	0	0	0
4708	decohere	FBgn0003862	106	0.18000338941349467	19.080359277830436	104	3	3	2	0	0
2320	decohere	FBgn0031776	106	0.15081544280791404	15.986436937638887	96	22	8	3	1	1
3822	decohere	FBgn0032305	106	0.1435745108924644	15.218898154601227	15	13	9	2	0	0
2125	decohere	FBgn0039890	106	0.13592770504770643	14.408336735056881	82	14	9	2	0	0
3052	decohere	FBgn0000581	105	0.20019675184746344	21.020658943983662	137	6	6	4	0	0
328	decohere	FBgn0030268	105	0.19557650357423226	20.535532875294386	86	6	6	4	0	0
4638	decohere	FBgn0083962	105	0.18279729408782944	19.19371587922209	45	9	9	2	0	0
2077	decohere	FBgn0040918	105	0.17273809661438977	18.137500144510927	128	14	9	2	0	0
3652	decohere	FBgn0035541	105	0.1656296301063704	17.391111161168894	157	7	7	3	1	1
1316	decohere	FBgn0010379	105	0.15196385481449995	15.956204755522494	128	14	9	2	0	0
4321	decohere	FBgn0000463	105	0.1354355706331967	14.220734916485652	62	3	3	2	0	0
4005	decohere	FBgn0036144	105	0.1328174250181239	13.94582962690301	89	16	0	0	0	0
5464	decohere	FBgn0015218	105	0.11868213363228253	12.461624031389665	77	26	10	0	0	0
2712	decohere	FBgn0087002	105	0.10396143784865804	10.915950974109094	162	24	11	1	1	1
3813	decohere	FBgn0033873	105	0.10034816073257594	10.536556876920473	21	18	11	1	1	1
6170	decohere	FBgn0042125	105	0.08213288937527292	8.623953384403658	28	22	8	3	1	1
2437	decohere	FBgn0030616	104	0.16933196007827883	17.610523848141	93	40	7	3	1	1
5971	decohere	FBgn0038857	104	0.16090214450903145	16.73382302893927	114	22	8	3	1	1
302	decohere	FBgn0053223	104	0.13670275173262797	14.21708618019331	95	4	4	3	1	1
1180	decohere	FBgn0033250	104	0.1351494315984207	14.05554088623575	23	19	5	3	1	1
3826	decohere	FBgn0032505	104	0.13136734221526952	13.662203590388032	172	1	1	1	1	1
792	decohere	FBgn0035619	104	0.12358434514015793	12.852771894576424	116	33	1	1	1	1
2902	decohere	FBgn0259923	104	0.11561690404838955	12.024158021032513	82	14	9	2	0	0
6019	decohere	FBgn0040324	103	0.18667230123535217	19.227247027241273	121	3	3	2	0	0
829	decohere	FBgn0001974	103	0.17025425112762516	17.53618786614539	121	3	3	2	0	0
2885	decohere	FBgn0264922	103	0.16886144014832624	17.392728335277603	71	23	10	0	0	0
6231	decohere	FBgn0262560	103	0.13135080658269252	13.52913307801733	96	22	8	3	1	1
223	decohere	FBgn0265174	103	0.1308972444386583	13.482416177181806	4	3	3	2	0	0
1195	decohere	FBgn0052076	103	0.12896218363458412	13.283104914362163	96	22	8	3	1	1
3464	decohere	FBgn0031768	103	0.12736441249261998	13.118534486739858	14	12	7	3	1	1
3823	decohere	FBgn0000351	103	0.12230974821422756	12.597904066065439	11	10	0	0	0	0
1136	decohere	FBgn0027949	103	0.10845320739305804	11.170680361484978	11	10	0	0	0	0
898	decohere	FBgn0259483	103	0.10073508657847113	10.375713917582527	11	10	0	0	0	0
4987	decohere	FBgn0039777	102	0.18213343052728195	18.57760991378276	116	33	1	1	1	1
3563	decohere	FBgn0259238	102	0.16030408952813935	16.351017131870215	51	33	1	1	1	1
4979	decohere	FBgn0022238	102	0.14551898849578596	14.842936826570167	58	13	9	2	0	0
2251	decohere	FBgn0061198	102	0.12460359513866119	12.709566704143441	91	20	8	3	1	1
2907	decohere	FBgn0026409	102	0.11190325058908634	11.414131560086807	145	41	11	1	1	1
3773	decohere	FBgn0031093	102	0.09911162069390064	10.109385310777865	114	22	8	3	1	1
6312	decohere	FBgn0050291	101	0.1824068363517539	18.423090471527143	134	8	8	3	1	1
3697	decohere	FBgn0030007	101	0.16170909633076538	16.332618729407304	134	8	8	3	1	1
514	decohere	FBgn0026873	101	0.14755567050270907	14.903122720773615	14	12	7	3	1	1
2467	decohere	FBgn0036335	101	0.14043317638457772	14.18375081484235	157	7	7	3	1	1
1370	decohere	FBgn0029114	101	0.12563613463789353	12.689249598427246	45	9	9	2	0	0
723	decohere	FBgn0030929	101	0.10938922944986065	11.048312174435926	111	18	11	1	1	1
4815	decohere	FBgn0032774	100	0.2028255660003376	20.28255660003376	83	33	1	1	1	1
3266	decohere	FBgn0266101	100	0.19889942730670312	19.889942730670313	86	6	6	4	0	0
2149	decohere	FBgn0284442	100	0.13035231672509304	13.035231672509303	11	10	0	0	0	0
2338	decohere	FBgn0034406	100	0.12299037069580963	12.299037069580963	51	33	1	1	1	1
710	decohere	FBgn0034644	100	0.12051608500788215	12.051608500788214	47	11	4	3	1	1
5274	decohere	FBgn0034277	100	0.11756974832442707	11.756974832442706	96	22	8	3	1	1
2842	decohere	FBgn0259682	99	0.1534410746900821	15.190666394318129	71	23	10	0	0	0
2319	decohere	FBgn0031684	99	0.1413836461528706	13.99698096913419	174	2	2	1	1	1
3657	decohere	FBgn0039735	99	0.13194401331836178	13.062457318517815	91	20	8	3	1	1
1831	decohere	FBgn0004595	99	0.12571785818918846	12.446067960729657	12	11	4	3	1	1
2165	decohere	FBgn0010247	99	0.11924364996141432	11.805121346180018	151	13	9	2	0	0
455	decohere	FBgn0032884	99	0.11781225241827081	11.66341298940881	132	7	7	3	1	1
2281	decohere	FBgn0032213	99	0.10277281057327584	10.174508246754307	37	29	2	1	1	1
676	decohere	FBgn0013697	99	0.09905348692768542	9.806295205840858	122	39	5	3	1	1
1514	decohere	FBgn0029093	98	0.1778838185895581	17.432614221776692	174	2	2	1	1	1
2439	decohere	FBgn0029686	98	0.1489272330043091	14.594868834422291	45	9	9	2	0	0
1265	decohere	FBgn0042177	98	0.13598144046252533	13.326181165327482	114	22	8	3	1	1
1790	decohere	FBgn0260985	98	0.12035848430836545	11.795131462219814	106	30	13	0	0	0
5984	decohere	FBgn0038828	98	0.11776804248023268	11.541268163062803	82	14	9	2	0	0
4972	decohere	FBgn0039714	98	0.1160559087131907	11.373479053892689	20	17	10	0	0	0
2365	decohere	FBgn0266420	98	0.11124376887235467	10.901889349490757	89	16	0	0	0	0
5744	decohere	FBgn0001491	98	0.11114867839397244	10.8925704826093	43	23	10	0	0	0
4840	decohere	FBgn0260941	98	0.11111931995275363	10.889693355369856	82	14	9	2	0	0
