	direction	Gene	Degree	Average	Sum	B1	B2	B3	B4	B5	B6
1558	decohere	FBgn0261014	636	0.20657806377554933	131.38364856124937	158	14	9	2	0	0
3460	decohere	FBgn0037819	636	0.19384045275310255	123.28252795097322	140	29	2	1	1	1
1059	decohere	FBgn0004889	635	0.22559244830095984	143.2512046711095	97	9	9	2	0	0
1056	decohere	FBgn0250869	634	0.24667826717206257	156.39402138708766	133	3	3	2	0	0
5803	decohere	FBgn0039682	634	0.16186903357384846	102.62496728581993	87	33	1	1	1	1
2283	decohere	FBgn0004654	632	0.21918525178375522	138.5250791273333	100	8	8	3	1	1
287	decohere	FBgn0266410	631	0.17421786172226222	109.93147074674746	59	9	9	2	0	0
2493	decohere	FBgn0083961	629	0.21163263960045495	133.11693030868616	53	20	8	3	1	1
1140	decohere	FBgn0010551	623	0.17929902635687606	111.70329342033378	168	20	8	3	1	1
551	decohere	FBgn0003462	622	0.20837496237842135	129.60922659937808	54	34	2	1	1	1
4666	decohere	FBgn0035603	622	0.20432940886354584	127.0928923131255	53	20	8	3	1	1
3862	decohere	FBgn0032394	619	0.24133793321322541	149.38818065898653	140	29	2	1	1	1
2777	decohere	FBgn0028685	618	0.18178995945296184	112.34619494193042	100	8	8	3	1	1
4295	decohere	FBgn0033917	617	0.22463899754711725	138.60226148657134	25	20	8	3	1	1
2796	decohere	FBgn0040529	616	0.20324860988218577	125.20114368742644	54	34	2	1	1	1
5499	decohere	FBgn0027108	615	0.22279705135158842	137.02018658122688	158	14	9	2	0	0
2011	decohere	FBgn0016119	613	0.1952185789833818	119.66898891681305	180	2	2	1	1	1
2380	decohere	FBgn0020415	611	0.1800763223316614	110.02663294464512	140	29	2	1	1	1
801	decohere	FBgn0028411	610	0.2201120405727649	134.26834474938659	53	20	8	3	1	1
4430	decohere	FBgn0038820	609	0.22445787568711736	136.69484629345448	140	29	2	1	1	1
458	decohere	FBgn0266582	607	0.22956714313838772	139.34725588500135	52	2	2	1	1	1
5935	decohere	FBgn0014869	606	0.18314262842665288	110.98443282655165	94	12	7	3	1	1
3705	decohere	FBgn0023215	606	0.18287331541439442	110.82122914112301	97	9	9	2	0	0
4976	decohere	FBgn0029823	604	0.2028088622766956	122.49655281512413	140	29	2	1	1	1
4760	decohere	FBgn0039635	603	0.23397534596297143	141.08713361567177	140	29	2	1	1	1
3367	decohere	FBgn0010078	603	0.18309141126811967	110.40412099467616	141	34	2	1	1	1
4202	decohere	FBgn0034793	599	0.17838065534532124	106.85001255184743	67	12	7	3	1	1
5027	decohere	FBgn0001233	598	0.17668299063664272	105.65642840071234	158	14	9	2	0	0
1800	decohere	FBgn0267033	597	0.19338244022864434	115.44931681650067	147	11	4	3	1	1
3758	decohere	FBgn0283535	597	0.17735749675776052	105.88242556438304	147	11	4	3	1	1
6047	decohere	FBgn0000150	596	0.17128919381736965	102.08835951515232	94	12	7	3	1	1
1938	decohere	FBgn0283521	594	0.2080582217794721	123.58658373700644	59	9	9	2	0	0
4588	decohere	FBgn0027932	592	0.24119267479380277	142.78606347793124	97	9	9	2	0	0
615	decohere	FBgn0037899	592	0.20117795770941374	119.09735096397293	94	12	7	3	1	1
2670	decohere	FBgn0011361	591	0.19172347655902594	113.30857464638433	170	40	7	3	1	1
2557	decohere	FBgn0035397	591	0.19160573979464213	113.2389922186335	97	9	9	2	0	0
1103	decohere	FBgn0034876	590	0.1560958954337261	92.09657830589839	166	17	10	0	0	0
4148	decohere	FBgn0032160	588	0.2321215857124234	136.48749239890495	67	12	7	3	1	1
4084	decohere	FBgn0024733	587	0.18695196331215405	109.74080246423442	141	34	2	1	1	1
6491	decohere	FBgn0003714	587	0.16384596360395026	96.17758063551881	146	20	8	3	1	1
3365	decohere	FBgn0262952	586	0.2052691127050289	120.28770004514693	156	37	4	3	1	1
3960	decohere	FBgn0010198	586	0.1902143367817814	111.4656013541239	141	34	2	1	1	1
3626	decohere	FBgn0261394	586	0.18346968972180736	107.51323817697912	146	20	8	3	1	1
